sess,entry,exit,high,low,bars,prior_day_ret,trend,mfe,mae,pnl,mfe_usd,mae_usd,prior_night,vol20,dow,year,month
2020-08-06,11260.25,11208.25,11283.25,11184.0,144,1.4010586777790213,9.128311641969344,23.0,76.25,-104.5,46.0,152.5,5.0,136.96704367340172,3,2020,8
2020-08-09,11140.0,11121.0,11159.25,11073.75,144,-0.936950570849937,7.5468342881883865,19.25,66.25,-38.5,38.5,132.5,-104.5,138.41806192986883,6,2020,8
2020-08-10,11072.5,11134.5,11157.5,11058.25,144,-0.5319745909182716,6.751501275795357,85.0,14.25,123.5,170.0,28.5,-38.5,136.0579863804205,0,2020,8
2020-08-11,10923.25,10967.75,10985.0,10878.25,144,-1.43734838695051,4.473709632536105,61.75,45.0,88.5,123.5,90.0,123.5,138.72664336365716,1,2020,8
2020-08-12,11115.75,11111.75,11150.0,11094.25,144,1.72252515343021,6.837186989758126,34.25,21.5,-8.5,68.5,43.0,88.5,140.73372346759174,2,2020,8
2020-08-13,11181.0,11166.0,11237.25,11146.0,144,-0.031324115093744886,6.7609705977228485,56.25,35.0,-30.5,112.5,70.0,-8.5,115.01721839062073,3,2020,8
2020-08-16,11145.25,11198.0,11209.0,11145.0,144,-0.2837037864403036,6.349167775711373,63.75,0.25,105.0,127.5,0.5,-30.5,110.57131540084724,6,2020,8
2020-08-17,11285.25,11325.25,11326.25,11272.5,144,0.49426694868084375,7.237924359214376,41.0,12.75,79.5,82.0,25.5,105.0,113.15393567125577,0,2020,8
2020-08-18,11413.5,11426.5,11444.75,11392.25,144,0.5648720211826941,7.973595082908624,31.25,21.25,25.5,62.5,42.5,79.5,106.10023500643626,1,2020,8
2020-08-19,11327.5,11311.0,11333.25,11221.5,144,-0.6473273062406748,6.990374954275591,5.75,106.0,-33.5,11.5,212.0,25.5,106.03515740198206,2,2020,8
2020-08-20,11479.0,11491.75,11524.25,11461.25,144,1.6771163347143236,8.165309513428154,45.25,17.75,25.0,90.5,35.5,-33.5,103.96404996060166,3,2020,8
2020-08-23,11580.0,11662.75,11675.5,11566.75,144,0.6358192705498089,8.525154955427116,95.5,13.25,165.0,191.0,26.5,25.0,93.5962071881118,6,2020,8
2020-08-24,11634.75,11652.75,11690.0,11631.5,144,-0.5219362981026321,8.799557549245819,55.25,3.25,35.5,110.5,6.5,165.0,97.16898939476499,0,2020,8
2020-08-25,11739.25,11757.25,11769.75,11726.5,144,1.07410922267277,9.238690571653407,30.5,12.75,35.5,61.0,25.5,35.5,94.56833716808599,1,2020,8
2020-08-26,11983.75,11969.25,11983.75,11934.5,144,1.6675517790759375,11.14811403527105,0.0,49.25,-29.5,0.0,98.5,35.5,94.15686798887077,2,2020,8
2020-08-27,11951.75,11950.25,12016.0,11922.25,144,-0.7116993382444758,10.404627220090523,64.25,29.5,-3.5,128.5,59.0,-29.5,73.575525106769,3,2020,8
2020-08-30,12003.0,12038.5,12092.0,11995.0,144,0.09599732876999223,10.582376538940386,89.0,8.0,70.5,178.0,16.0,-3.5,71.78210358255598,6,2020,8
2020-08-31,12109.0,12238.0,12248.75,12093.0,144,0.6240898689411356,11.113153022360468,139.75,16.0,257.5,279.5,32.0,70.5,72.50569850563078,0,2020,8
2020-09-01,12326.75,12458.5,12466.0,12314.5,144,0.7808177067322397,12.531149956864883,139.25,12.25,263.0,278.5,24.5,257.5,83.44731634548299,1,2020,9
2020-09-02,12408.25,12297.25,12438.5,12291.25,144,-0.17293732027588993,13.099317253119391,30.25,117.0,-222.5,60.5,234.0,263.0,95.76128145715128,2,2020,9
2020-09-03,11748.75,11791.75,11799.0,11582.25,144,-3.689312446316828,6.963313041783703,50.25,166.5,85.5,100.5,333.0,-222.5,113.45566024709925,3,2020,9
2020-09-06,11531.5,11428.0,11548.5,11308.0,144,-0.8045927949462128,5.226386491611579,17.0,223.5,-207.5,34.0,447.0,85.5,108.55499455163368,6,2020,9
2020-09-07,11505.0,11285.5,11585.5,11264.0,144,0.421130725086738,3.8991883031123775,80.5,241.0,-439.5,161.0,482.0,-207.5,121.57458183094185,0,2020,9
2020-09-08,11014.25,11285.5,11295.0,10935.0,144,-0.8021150743860894,-0.21289898274584607,280.75,79.25,542.0,561.5,158.5,-439.5,160.47264892383228,1,2020,9
2020-09-09,11374.75,11377.5,11455.75,11262.75,144,0.821268871474734,2.444543413813438,81.0,112.0,5.0,162.0,224.0,542.0,199.08874475839573,2,2020,9
2020-09-10,11187.25,11325.0,11356.75,11179.5,144,-3.136395207501297,0.23151600308328746,169.5,7.75,275.0,339.0,15.5,5.0,198.9537502457344,3,2020,9
2020-09-13,11094.75,11192.0,11277.75,11094.75,144,-1.429556015029232,-0.5576362431708559,183.0,0.0,194.0,366.0,0.0,275.0,205.17734786995206,6,2020,9
2020-09-14,11279.0,11392.0,11401.0,11247.25,144,0.2823916572165519,1.032050233762627,122.0,31.75,225.5,244.0,63.5,194.0,207.34841482774567,0,2020,9
2020-09-15,11461.0,11520.75,11545.75,11403.5,144,0.05685918603888229,2.325853934333244,84.75,57.5,119.0,169.5,115.0,225.5,210.75673648470686,1,2020,9
2020-09-16,11269.25,11177.0,11302.5,11016.0,144,-1.8924693672873194,0.5302424048260201,33.25,253.25,-185.0,66.5,506.5,119.0,210.90816160494808,2,2020,9
2020-09-17,11062.25,11127.0,11166.0,11036.5,144,1.105917227226083,-1.0006658006643687,103.75,25.75,129.0,207.5,51.5,-185.0,217.37092207367076,3,2020,9
2020-09-20,10927.0,10736.75,10990.25,10708.25,144,1.105917227226083,-1.0006658006643687,63.25,218.75,-381.0,126.5,437.5,129.0,217.72003238103736,6,2020,9
2020-09-21,10972.75,11047.5,11069.0,10897.25,144,1.9125302100762243,-2.108500968758642,96.25,75.5,149.0,192.5,151.0,-381.0,237.91198477588293,0,2020,9
