market,date,return_pct,rank
ZN,2020-03-18,-2.56,worst
ZN,2008-09-19,-2.54,worst
ZN,2020-03-10,-2.49,worst
ZN,2013-07-05,-2.37,worst
ZN,2008-09-29,2.75,best
ZN,2022-11-10,3.14,best
ZN,2008-09-15,3.26,best
ZN,2008-11-20,3.32,best
ZN,2009-03-18,4.65,best
ZO,2022-07-13,-29.36,worst
ZO,2008-10-14,-22.18,worst
ZO,2024-07-09,-20.62,worst
ZO,2008-09-24,-20.41,worst
ZO,2005-04-29,-20.03,worst
ZO,2008-10-15,24.56,best
ZO,2015-09-07,24.64,best
ZO,2014-03-12,27.63,best
ZO,2024-07-10,32.13,best
ZO,2022-07-12,33.13,best
ZR,2020-07-15,-25.9,worst
ZR,2024-07-12,-16.61,worst
ZR,2023-05-31,-13.59,worst
ZR,2008-07-15,-10.73,worst
ZR,2014-07-15,-10.5,worst
ZR,2017-11-15,7.51,best
ZR,2020-06-03,7.87,best
ZR,2008-06-30,8.13,best
ZR,2020-07-01,9.89,best
ZR,2020-06-12,10.3,best
ZS,2008-09-15,-20.87,worst
ZS,2013-09-16,-9.44,worst
ZS,2014-09-15,-9.3,worst
ZS,2022-07-01,-9.21,worst
ZS,2014-07-15,-8.84,worst
ZS,2010-10-08,6.57,best
ZS,2021-06-30,6.64,best
ZS,2008-10-29,6.66,best
ZS,2009-07-30,6.69,best
ZS,2008-09-12,22.53,best
ZT,2008-09-19,-0.92,worst
ZT,2008-09-30,-0.66,worst
ZT,2009-06-05,-0.66,worst
ZT,2008-06-09,-0.63,worst
ZT,2008-03-18,-0.57,worst
ZT,2023-03-10,0.6,best
ZT,2008-01-22,0.75,best
ZT,2008-09-29,0.93,best
ZT,2008-09-15,0.99,best
ZT,2023-03-13,1.08,best
ZW,2009-09-04,-41.16,worst
ZW,2009-09-11,-40.03,worst
ZW,2008-09-01,-30.38,worst
ZW,2008-07-04,-28.67,worst
ZW,2009-11-26,-28.31,worst
ZW,2008-09-02,37.19,best
ZW,2009-11-27,39.1,best
ZW,2009-12-28,46.28,best
ZW,2009-09-14,66.09,best
ZW,2009-09-09,69.9,best
