a,b,corr,overlap_obs
NKD,NQ,0.015,4754
6N,ZF,0.014,5461
6E,HE,0.014,5233
GF,NG,0.013,5229
LE,NG,0.013,5219
LBR,NKD,0.012,4726
PA,ZT,0.012,5464
LE,ZO,0.011,5224
NKD,ZW,0.009,4955
DC,KC,0.008,5108
GC,HE,0.006,5239
DC,ZT,0.005,5259
6N,HE,0.004,5238
CT,GF,0.002,4728
LBR,NG,0.002,5200
NG,NKD,-0.0,5007
PL,ZN,-0.0,5464
CT,ZO,-0.002,4903
GC,GF,-0.002,5243
6B,ZB,-0.003,5411
LE,ZR,-0.006,5199
6A,ZT,-0.006,5457
DC,ZF,-0.008,5261
DC,HE,-0.009,5136
GF,ZO,-0.011,5234
ZT,ZW,-0.014,5394
DC,ZN,-0.014,5265
ZR,ZT,-0.018,5376
DC,ZB,-0.019,5233
NG,VX,-0.019,5455
PL,ZB,-0.019,5418
DC,NG,-0.019,5317
HE,ZB,-0.021,5195
KC,ZT,-0.022,5181
6N,ZN,-0.022,5463
GF,ZS,-0.022,5182
ZC,ZT,-0.023,5406
VX,ZW,-0.023,5415
PA,ZF,-0.023,5464
NG,ZF,-0.023,5440
DC,VX,-0.024,5288
NG,ZT,-0.024,5442
ZO,ZT,-0.024,5407
HE,ZN,-0.024,5211
DC,ZC,-0.025,5281
NKD,VX,-0.026,4956
LBR,ZT,-0.026,5180
HE,ZF,-0.027,5205
DC,GF,-0.027,5144
HE,VX,-0.028,5228
ZB,ZO,-0.028,5385
CC,ZT,-0.028,5149
ZF,ZW,-0.028,5390
ZF,ZO,-0.029,5403
NG,ZB,-0.03,5400
ZN,ZO,-0.031,5423
NG,ZN,-0.032,5442
ZF,ZR,-0.033,5374
ZN,ZW,-0.033,5408
CC,NG,-0.034,5177
KC,ZF,-0.035,5181
CC,ZN,-0.036,5159
HE,ZT,-0.036,5207
CC,ZF,-0.037,5147
CC,CT,-0.037,4767
VX,ZO,-0.037,5426
GC,VX,-0.039,5477
GF,ZN,-0.041,5203
SB,ZT,-0.041,5250
CC,ZB,-0.042,5135
GF,ZR,-0.042,5201
6A,ZF,-0.042,5455
GF,ZW,-0.042,5223
GF,ZT,-0.043,5205
LBR,ZF,-0.043,5178
GF,ZF,-0.043,5203
ZC,ZF,-0.043,5402
VX,ZC,-0.043,5413
KC,ZB,-0.043,5175
LE,ZN,-0.044,5203
KC,ZN,-0.044,5199
CT,ZT,-0.044,4874
LE,ZF,-0.046,5199
ZN,ZR,-0.047,5382
PA,ZN,-0.048,5462
VX,ZR,-0.048,5387
ZC,ZN,-0.049,5414
LE,ZB,-0.049,5189
HG,ZT,-0.049,4589
LE,ZT,-0.049,5199
GF,ZB,-0.05,5187
SB,ZF,-0.052,5250
6N,ZB,-0.052,5417
LBR,ZN,-0.052,5184
LBR,ZB,-0.054,5172
ZB,ZW,-0.054,5374
ZB,ZR,-0.056,5346
CC,ZC,-0.056,5168
CT,ZF,-0.057,4872
CC,ZW,-0.06,5161
SB,ZN,-0.061,5268
SB,ZB,-0.066,5244
PA,ZB,-0.067,5418
ZS,ZT,-0.068,5229
CT,ZN,-0.07,4886
ZB,ZC,-0.071,5378
CC,VX,-0.076,5168
DC,ZW,-0.078,5285
CT,ZB,-0.08,4866
6A,ZN,-0.08,5457
SB,VX,-0.084,5281
KC,VX,-0.086,5212
ZF,ZS,-0.088,5225
HG,ZF,-0.09,4585
CT,DC,-0.093,4770
GF,VX,-0.099,5222
HO,ZT,-0.099,5267
ZN,ZS,-0.099,5211
LE,VX,-0.101,5220
LBR,VX,-0.103,5197
GF,ZC,-0.106,5215
6A,ZB,-0.106,5411
CT,VX,-0.109,4897
ZB,ZS,-0.11,5197
CL,ZT,-0.113,5253
6E,VX,-0.12,5472
RB,ZT,-0.121,5068
VX,ZS,-0.122,5212
HG,ZN,-0.123,4577
BZ,ZT,-0.125,5438
HO,ZF,-0.136,5267
HG,ZB,-0.147,4559
RB,ZF,-0.158,5066
CL,ZF,-0.162,5251
HO,ZN,-0.165,5257
BZ,ZF,-0.171,5436
SI,VX,-0.172,5479
HO,VX,-0.173,5274
HO,ZB,-0.176,5233
RB,ZN,-0.177,5056
RB,ZB,-0.183,5026
6B,VX,-0.186,5472
CL,ZN,-0.19,5233
CL,VX,-0.194,5242
RB,VX,-0.198,5071
BZ,ZN,-0.198,5434
CL,ZB,-0.206,5209
PL,VX,-0.209,5479
BZ,VX,-0.209,5451
BZ,ZB,-0.21,5394
NQ,ZT,-0.216,5202
RTY,ZT,-0.222,5205
PA,VX,-0.223,5477
NQ,ZF,-0.235,5202
NQ,ZB,-0.238,5186
HG,VX,-0.238,4589
NQ,ZN,-0.244,5194
RTY,ZF,-0.256,5205
ES,ZT,-0.261,5208
YM,ZT,-0.261,5304
RTY,ZB,-0.271,5189
RTY,ZN,-0.274,5193
ES,ZF,-0.289,5208
ES,ZB,-0.292,5198
YM,ZF,-0.297,5304
YM,ZB,-0.3,5296
ES,ZN,-0.301,5202
YM,ZN,-0.312,5300
6N,VX,-0.325,5478
6A,VX,-0.368,5472
RTY,VX,-0.664,5228
VX,YM,-0.694,5317
NQ,VX,-0.699,5219
ES,VX,-0.722,5225
