20260602 053000;30536.00;30549.25;30533.25;30546.00;1698
20260602 053500;30545.75;30549.50;30537.75;30549.25;1037
20260602 054000;30549.75;30582.25;30537.00;30577.00;5582
20260602 054500;30577.00;30585.25;30567.50;30579.75;2968
20260602 055000;30579.50;30587.75;30564.25;30567.50;2888
20260602 055500;30567.75;30576.75;30565.25;30565.50;1748
20260602 060000;30565.25;30566.50;30553.25;30560.00;2540
20260602 060500;30560.00;30567.50;30557.50;30563.00;1669
20260602 061000;30562.50;30572.00;30559.00;30560.00;1887
20260602 061500;30560.00;30567.50;30556.00;30564.25;1800
20260602 062000;30564.25;30566.75;30551.50;30564.75;1694
20260602 062500;30564.25;30566.25;30546.50;30554.25;2155
20260602 063000;30555.00;30558.00;30538.75;30539.25;1832
20260602 063500;30540.00;30546.00;30532.00;30543.50;2170
20260602 064000;30544.00;30544.50;30533.75;30536.00;1551
20260602 064500;30535.50;30539.50;30527.75;30532.50;2248
20260602 065000;30533.00;30544.25;30532.50;30541.50;1401
20260602 065500;30540.75;30542.00;30528.75;30529.25;1443
20260602 070000;30529.75;30532.75;30502.50;30507.75;5030
20260602 070500;30507.25;30535.75;30506.75;30535.75;3015
20260602 071000;30535.75;30548.75;30530.50;30544.00;3432
20260602 071500;30543.50;30548.25;30535.50;30541.00;2698
20260602 072000;30541.00;30541.25;30525.25;30528.75;2718
20260602 072500;30528.25;30550.50;30526.00;30548.00;2819
20260602 073000;30549.00;30574.25;30547.25;30566.75;6253
20260602 073500;30566.25;30569.75;30558.25;30565.50;2349
20260602 074000;30565.25;30566.75;30548.75;30551.25;2611
20260602 074500;30551.75;30554.25;30541.25;30547.25;2566
20260602 075000;30547.00;30554.75;30542.50;30549.00;2178
20260602 075500;30548.75;30550.50;30529.75;30531.25;3067
20260602 080000;30531.25;30541.00;30528.25;30540.00;2582
20260602 080500;30539.75;30543.25;30526.75;30541.50;3242
20260602 081000;30541.25;30545.75;30528.50;30530.50;2638
20260602 081500;30530.50;30538.75;30519.25;30526.75;4124
20260602 082000;30526.75;30557.00;30524.00;30556.50;5886
20260602 082500;30556.50;30560.00;30543.25;30548.75;3167
20260602 083000;30548.75;30551.50;30526.00;30534.00;4788
20260602 083500;30533.50;30543.25;30531.75;30541.75;2839
20260602 084000;30542.25;30560.50;30542.25;30555.00;4512
20260602 084500;30555.00;30556.00;30541.50;30548.25;2960
20260602 085000;30547.75;30554.75;30530.75;30535.25;3796
20260602 085500;30534.75;30539.75;30526.25;30529.50;3292
20260602 090000;30529.50;30536.50;30520.00;30527.50;6125
20260602 090500;30527.00;30533.50;30481.00;30492.75;14054
20260602 091000;30493.25;30508.25;30487.00;30492.75;9006
20260602 091500;30492.75;30518.00;30489.00;30511.50;6684
20260602 092000;30511.00;30545.25;30510.25;30543.75;9760
20260602 092500;30544.50;30559.25;30536.00;30556.50;15287
20260602 093000;30556.75;30567.50;30466.75;30476.50;56972
20260602 093500;30476.75;30491.00;30451.25;30464.50;41411
20260602 094000;30464.75;30505.75;30423.75;30503.00;51846
20260602 094500;30503.00;30551.00;30495.75;30550.25;41976
20260602 095000;30549.75;30583.75;30540.25;30559.00;40558
20260602 095500;30559.25;30604.00;30534.50;30604.00;43214
20260602 100000;30602.75;30611.00;30526.75;30605.00;37300
20260602 100500;30605.25;30624.25;30593.50;30612.00;29505
20260602 101000;30611.75;30647.25;30596.50;30633.75;32353
20260602 101500;30634.00;30636.50;30602.25;30626.00;28146
20260602 102000;30626.25;30640.00;30572.00;30578.00;37938
20260602 102500;30578.00;30587.75;30537.25;30560.00;41694
20260602 103000;30560.00;30607.00;30554.75;30595.75;35654
20260602 103500;30594.75;30613.75;30586.00;30605.25;24284
20260602 104000;30605.00;30625.00;30575.75;30623.50;26756
20260602 104500;30623.50;30625.00;30601.25;30618.00;20720
20260602 105000;30618.25;30634.75;30609.50;30628.75;17058
20260602 105500;30628.50;30643.25;30621.00;30642.50;14424
20260602 110000;30642.75;30649.25;30617.50;30626.50;22838
20260602 110500;30626.75;30657.50;30612.00;30653.75;22950
20260602 111000;30654.25;30666.25;30639.00;30666.25;17959
20260602 111500;30666.00;30674.00;30660.00;30670.25;16421
20260602 112000;30670.50;30677.00;30661.25;30670.00;12135
20260602 112500;30670.00;30676.75;30652.25;30665.75;15310
20260602 113000;30666.00;30674.00;30649.50;30672.50;13960
20260602 113500;30672.50;30686.00;30668.75;30676.75;13814
20260602 114000;30676.75;30682.50;30664.25;30668.00;10012
20260602 114500;30668.25;30681.00;30657.50;30668.00;11518
20260602 115000;30668.00;30690.00;30660.25;30685.75;12280
20260602 115500;30686.00;30698.00;30680.00;30689.50;14884
20260602 120000;30689.50;30694.75;30668.00;30676.00;13062
20260602 120500;30676.00;30712.50;30676.00;30703.25;20756
20260602 121000;30703.25;30708.25;30693.75;30700.00;9078
20260602 121500;30700.25;30700.50;30668.25;30674.00;14477
20260602 122000;30674.25;30679.50;30651.50;30672.00;17357
20260602 122500;30671.75;30674.00;30654.75;30658.25;10115
20260602 123000;30658.75;30675.25;30654.00;30657.25;12097
20260602 123500;30657.50;30659.50;30640.75;30646.25;15218
20260602 124000;30646.25;30657.50;30645.75;30647.25;8357
20260602 124500;30647.50;30674.75;30642.00;30672.50;12839
20260602 125000;30672.75;30687.50;30672.50;30678.25;12260
20260602 125500;30677.75;30695.00;30673.00;30691.50;10815
20260602 130000;30691.50;30703.00;30677.50;30699.00;13352
20260602 130500;30698.50;30702.00;30684.75;30691.75;10496
20260602 131000;30692.50;30699.25;30685.25;30695.50;6564
20260602 131500;30695.75;30696.25;30652.25;30653.25;15770
20260602 132000;30653.25;30665.75;30635.75;30645.75;14553
20260602 132500;30645.75;30648.75;30632.00;30643.00;13105
