level_type,session,year,price,distance_from_close,lag,revisited
poc,2021-04-13,2021,17340.0,57.75,1,True
poc,2021-04-14,2021,17320.0,89.0,1,True
poc,2021-04-15,2021,17430.0,8.5,1,True
poc,2021-04-16,2021,17434.0,19.5,1,True
poc,2021-04-19,2021,17299.0,27.5,1,True
poc,2021-04-20,2021,17192.0,29.75,1,True
poc,2021-04-21,2021,17278.0,63.0,1,True
poc,2021-04-22,2021,17168.0,5.0,1,True
poc,2021-04-23,2021,17376.0,29.0,1,True
poc,2021-04-26,2021,17394.0,42.0,1,True
poc,2021-04-27,2021,17384.0,10.0,1,True
poc,2021-04-28,2021,17340.0,21.5,1,True
poc,2021-04-29,2021,17376.0,1.25,1,True
poc,2021-04-30,2021,17312.0,28.75,1,True
poc,2021-05-03,2021,17232.0,19.25,4,True
poc,2021-05-04,2021,16862.0,103.75,2,True
poc,2021-05-05,2021,16980.0,63.5,1,True
poc,2021-05-06,2021,16895.0,124.0,2,True
poc,2021-05-07,2021,17146.0,17.0,1,True
poc,2021-05-10,2021,16926.0,147.25,8,True
poc,2021-05-11,2021,16740.0,26.5,1,True
poc,2021-05-12,2021,16442.0,21.25,1,True
poc,2021-05-13,2021,16546.0,25.5,1,True
poc,2021-05-14,2021,16781.0,26.0,1,True
poc,2021-05-17,2021,16676.0,52.25,1,True
poc,2021-05-18,2021,16756.0,121.0,2,True
poc,2021-05-19,2021,16580.0,73.25,1,True
poc,2021-05-20,2021,16917.0,7.5,1,True
poc,2021-05-21,2021,16868.0,36.5,1,True
poc,2021-05-24,2021,17062.0,1.75,1,True
poc,2021-05-25,2021,17068.0,11.0,2,True
poc,2021-05-26,2021,17126.0,1.75,1,True
poc,2021-05-27,2021,17084.0,9.25,2,True
poc,2021-05-28,2021,17142.0,29.0,1,True
poc,2021-06-01,2021,17082.0,8.5,1,True
poc,2021-06-02,2021,17120.0,23.25,1,True
poc,2021-06-03,2021,16970.0,19.5,1,True
poc,2021-06-04,2021,17182.0,7.0,1,True
poc,2021-06-07,2021,17164.0,60.5,1,True
poc,2021-06-08,2021,17236.0,4.5,1,True
poc,2021-06-09,2021,17284.0,45.75,1,True
poc,2021-06-10,2021,17364.0,18.5,1,True
poc,2021-06-11,2021,17388.0,29.25,1,True
poc,2021-06-14,2021,17424.0,124.75,2,True
poc,2021-06-15,2021,17487.0,34.25,1,True
poc,2021-06-16,2021,17482.0,80.75,1,True
poc,2021-06-17,2021,17608.0,26.25,1,True
poc,2021-06-18,2021,17506.0,38.75,1,True
poc,2021-06-21,2021,17542.0,11.75,1,True
poc,2021-06-22,2021,17646.0,37.5,60,False
poc,2021-06-23,2021,17706.0,17.25,1,True
poc,2021-06-24,2021,17802.0,22.25,1,True
poc,2021-06-25,2021,17764.0,0.75,1,True
poc,2021-06-28,2021,17892.0,44.75,15,True
poc,2021-06-29,2021,17940.0,49.5,2,True
poc,2021-06-30,2021,17974.0,4.75,1,True
poc,2021-07-01,2021,17970.0,3.25,1,True
poc,2021-07-02,2021,18078.0,62.25,2,True
poc,2021-07-06,2021,18172.0,29.75,1,True
poc,2021-07-07,2021,18230.0,2.5,1,True
poc,2021-07-08,2021,18048.0,101.0,7,True
poc,2021-07-09,2021,18232.0,3.75,1,True
poc,2021-07-12,2021,18260.0,34.0,1,True
poc,2021-07-13,2021,18302.0,11.0,1,True
poc,2021-07-14,2021,18344.0,24.0,1,True
poc,2021-07-15,2021,18188.0,27.75,1,True
poc,2021-07-16,2021,18184.0,85.25,2,True
poc,2021-07-19,2021,17908.0,71.25,55,True
poc,2021-07-20,2021,17988.0,155.75,53,True
poc,2021-07-21,2021,18198.0,55.75,21,True
poc,2021-07-22,2021,18340.0,14.25,3,True
poc,2021-07-23,2021,18526.0,1.75,1,True
poc,2021-07-26,2021,18538.0,4.25,1,True
poc,2021-07-27,2021,18344.0,31.5,1,True
poc,2021-07-28,2021,18446.0,14.5,1,True
poc,2021-07-29,2021,18490.0,29.5,4,True
poc,2021-07-30,2021,18372.0,8.5,1,True
poc,2021-08-02,2021,18418.0,37.5,1,True
poc,2021-08-03,2021,18338.0,131.25,10,True
poc,2021-08-04,2021,18476.0,18.0,2,True
poc,2021-08-05,2021,18574.0,18.0,1,True
poc,2021-08-06,2021,18518.0,3.25,1,True
poc,2021-08-09,2021,18536.0,12.25,1,True
poc,2021-08-10,2021,18474.0,2.25,1,True
poc,2021-08-11,2021,18420.0,27.75,1,True
poc,2021-08-12,2021,18474.0,27.75,2,True
poc,2021-08-13,2021,18539.0,12.75,1,True
poc,2021-08-16,2021,18380.0,179.75,1,True
poc,2021-08-17,2021,18404.0,21.25,1,True
poc,2021-08-18,2021,18408.0,126.5,1,True
poc,2021-08-19,2021,18386.0,31.75,1,True
poc,2021-08-20,2021,18492.0,16.75,21,True
poc,2021-08-23,2021,18746.0,14.0,1,True
poc,2021-08-24,2021,18772.0,9.75,1,True
poc,2021-08-25,2021,18784.0,4.0,1,True
poc,2021-08-26,2021,18768.0,68.75,1,True
poc,2021-08-27,2021,18858.0,8.0,1,True
poc,2021-08-30,2021,19033.0,8.25,1,True
poc,2021-08-31,2021,19008.0,1.75,1,True
poc,2021-09-01,2021,19106.0,69.0,1,True
poc,2021-09-02,2021,19058.0,27.25,1,True
poc,2021-09-03,2021,19076.0,2.0,1,True
poc,2021-09-07,2021,19112.0,12.75,1,True
poc,2021-09-08,2021,19032.0,16.25,1,True
poc,2021-09-09,2021,19084.0,94.25,1,True
poc,2021-09-10,2021,19004.0,132.25,32,True
poc,2021-09-13,2021,18808.0,58.0,1,True
poc,2021-09-14,2021,18858.0,40.25,1,True
poc,2021-09-15,2021,18790.0,142.25,2,True
poc,2021-09-16,2021,18827.0,118.25,1,True
poc,2021-09-17,2021,18750.0,7.0,1,True
poc,2021-09-20,2021,18368.0,71.75,2,True
poc,2021-09-21,2021,18472.0,18.5,1,True
poc,2021-09-22,2021,18602.0,5.25,3,True
poc,2021-09-23,2021,18760.0,25.5,1,True
poc,2021-09-24,2021,18662.0,88.25,1,True
poc,2021-09-27,2021,18630.0,0.75,15,True
poc,2021-09-28,2021,18244.0,44.5,1,True
poc,2021-09-29,2021,18266.0,88.5,1,True
poc,2021-09-30,2021,18242.0,130.75,1,True
poc,2021-10-01,2021,18108.0,97.75,1,True
poc,2021-10-04,2021,17846.0,56.25,1,True
poc,2021-10-05,2021,18150.0,57.0,1,True
poc,2021-10-06,2021,18042.0,146.5,4,True
poc,2021-10-07,2021,18418.0,96.75,1,True
poc,2021-10-08,2021,18288.0,41.5,1,True
poc,2021-10-11,2021,18218.0,83.0,1,True
poc,2021-10-12,2021,18104.0,18.75,1,True
poc,2021-10-13,2021,18158.0,43.5,60,False
poc,2021-10-14,2021,18464.0,7.75,1,True
poc,2021-10-15,2021,18501.0,69.5,1,True
poc,2021-10-18,2021,18682.0,39.25,59,True
poc,2021-10-19,2021,18778.0,57.25,1,True
