date,SND baseline,Phase 6 locked candidate
2025-01-22,3.666243654822335,5.906488549618321
2025-01-23,3.5114795918367347,4.9602272727272725
2025-01-24,3.1381909547738696,4.649253731343284
2025-01-25,3.1381909547738696,4.649253731343284
2025-01-26,2.2066326530612246,5.068181818181818
2025-01-27,0.5685279187817259,3.43609022556391
2025-01-28,0.9949238578680203,3.9906716417910446
2025-01-29,3.014925373134328,4.4981481481481485
2025-01-30,1.9304878048780487,4.825367647058823
2025-01-31,1.603864734299517,4.590579710144928
2025-02-01,1.603864734299517,4.590579710144928
2025-02-02,2.3345588235294117,4.675182481751825
2025-02-03,1.436881188118812,4.084558823529412
2025-02-04,1.90375,3.414814814814815
2025-02-05,2.743811881188119,2.0496323529411766
2025-02-06,3.56875,2.8759259259259258
2025-02-07,2.3719512195121952,3.4562043795620436
2025-02-08,2.3719512195121952,3.4562043795620436
2025-02-09,3.490049751243781,3.832089552238806
2025-02-10,3.4665841584158414,4.964285714285714
2025-02-11,2.6914634146341463,4.964285714285714
2025-02-12,4.5588235294117645,5.604961832061068
2025-02-13,4.599282296650718,6.073076923076923
2025-02-14,4.380331753554502,5.700757575757576
2025-02-15,4.380331753554502,5.700757575757576
2025-02-16,3.9523809523809526,5.423076923076923
2025-02-17,4.411483253588517,5.459302325581396
2025-02-18,2.545238095238095,4.861742424242424
2025-02-19,3.496394230769231,5.925572519083969
2025-02-20,2.8125,5.761450381679389
2025-02-21,2.1860189573459716,5.138059701492537
2025-02-22,2.1860189573459716,5.138059701492537
2025-02-23,1.5817307692307692,4.197368421052632
2025-02-24,0.235781990521327,4.888059701492537
2025-02-25,0.6296296296296297,5.149635036496351
2025-02-26,1.1181192660550459,5.087591240875913
2025-02-27,1.9639639639639639,5.476449275362318
2025-02-28,1.6061946902654867,5.26241134751773
2025-03-01,1.6155555555555556,5.325
2025-03-02,1.7163677130044843,5.640510948905109
2025-03-03,1.0418502202643172,4.369565217391305
2025-03-04,1.8495670995670996,2.4910714285714284
2025-03-05,1.4025974025974026,2.380434782608696
2025-03-06,0.7891949152542372,2.8740740740740742
2025-03-07,0.5241596638655462,2.6875
2025-03-08,0.5241596638655462,2.6875
2025-03-09,0.7414893617021276,3.013157894736842
2025-03-10,1.2882978723404255,3.212406015037594
2025-03-11,0.21548117154811716,3.3134328358208953
2025-03-12,-0.5169491525423728,2.1809701492537314
2025-03-13,0.24364406779661016,3.8339694656488548
2025-03-14,-1.0435684647302905,3.4661654135338344
2025-03-15,-1.0435684647302905,3.4661654135338344
2025-03-16,-1.009375,3.5625
2025-03-17,-1.2123430962343096,3.701923076923077
2025-03-18,-0.11506276150627615,5.16015625
2025-03-19,-2.183609958506224,3.224609375
2025-03-20,-2.0185185185185186,2.9867424242424243
2025-03-21,-2.1144578313253013,2.2667910447761193
2025-03-22,-2.1144578313253013,2.2667910447761193
2025-03-23,-3.058641975308642,1.6496212121212122
2025-03-24,-3.6864754098360657,0.5281954887218046
2025-03-25,-3.6963562753036436,0.16296296296296298
2025-03-26,-4.441295546558704,1.0753676470588236
2025-03-27,-4.8221544715447155,0.14154411764705882
2025-03-28,-4.785714285714286,0.8704379562043796
2025-03-29,-4.785714285714286,0.8704379562043796
2025-03-30,-4.026,1.6084558823529411
2025-03-31,-4.645582329317269,-0.05474452554744526
2025-04-01,-5.132411067193676,-1.0585106382978724
2025-04-02,-4.934055118110236,-0.5053956834532374
2025-04-03,-5.4015748031496065,-0.7032374100719424
2025-04-04,-5.639846743295019,-1.4125
2025-04-05,-5.639846743295019,-1.4125
2025-04-06,-5.957854406130268,-1.4125
