session_date,net_pnl_dollars,equity_dollars
2022-03-29,0.0,143.5
2022-03-30,0.0,143.5
2022-03-31,7.0,150.5
2022-04-04,0.0,150.5
2022-04-05,0.0,150.5
2022-04-06,0.0,150.5
2022-04-07,0.0,150.5
2022-04-11,0.5,151.0
2022-04-12,-1.0,150.0
2022-04-13,0.0,150.0
2022-04-18,0.0,150.0
2022-04-19,0.0,150.0
2022-04-20,0.0,150.0
2022-04-21,5.5,155.5
2022-04-25,0.0,155.5
2022-04-26,0.0,155.5
2022-04-27,0.0,155.5
2022-04-28,0.0,155.5
2022-05-02,0.0,155.5
2022-05-03,6.0,161.5
2022-05-04,-0.5,161.0
2022-05-05,0.0,161.0
2022-05-09,0.0,161.0
2022-05-10,0.0,161.0
2022-05-11,0.0,161.0
2022-05-12,0.0,161.0
2022-05-16,0.0,161.0
2022-05-17,0.0,161.0
2022-05-18,0.0,161.0
2022-05-19,0.0,161.0
2022-05-23,0.0,161.0
2022-05-24,0.0,161.0
2022-05-25,0.0,161.0
2022-05-26,0.0,161.0
2022-05-31,0.0,161.0
2022-06-01,3.5,164.5
2022-06-02,0.0,164.5
2022-06-06,0.0,164.5
2022-06-07,4.5,169.0
2022-06-08,0.0,169.0
2022-06-09,0.5,169.5
2022-06-13,3.0,172.5
2022-06-14,0.0,172.5
2022-06-15,0.0,172.5
2022-06-16,-1.0,171.5
2022-06-21,0.0,171.5
2022-06-22,0.0,171.5
2022-06-23,2.5,174.0
2022-06-27,0.0,174.0
2022-06-28,0.0,174.0
2022-06-29,4.0,178.0
2022-06-30,0.0,178.0
2022-07-05,2.0,180.0
2022-07-06,-0.5,179.5
2022-07-07,0.0,179.5
2022-07-11,0.0,179.5
2022-07-12,0.0,179.5
2022-07-13,0.0,179.5
2022-07-14,-1.0,178.5
2022-07-18,0.0,178.5
2022-07-19,0.0,178.5
2022-07-20,5.0,183.5
2022-07-21,0.0,183.5
2022-07-25,0.0,183.5
2022-07-26,0.0,183.5
2022-07-27,0.0,183.5
2022-07-28,0.0,183.5
2022-08-01,0.0,183.5
2022-08-02,0.0,183.5
2022-08-03,0.0,183.5
2022-08-04,0.0,183.5
2022-08-08,0.0,183.5
2022-08-09,0.0,183.5
2022-08-10,0.0,183.5
2022-08-11,0.5,184.0
2022-08-15,0.0,184.0
2022-08-16,-1.0,183.0
2022-08-17,0.0,183.0
2022-08-18,0.0,183.0
2022-08-22,3.0,186.0
2022-08-23,2.0,188.0
2022-08-24,0.0,188.0
2022-08-25,0.0,188.0
2022-08-29,0.0,188.0
2022-08-30,1.5,189.5
2022-08-31,0.0,189.5
2022-09-01,0.0,189.5
2022-09-06,0.0,189.5
2022-09-07,0.0,189.5
2022-09-08,0.0,189.5
2022-09-12,-1.0,188.5
2022-09-13,0.0,188.5
2022-09-14,0.0,188.5
2022-09-15,0.0,188.5
2022-09-19,0.0,188.5
2022-09-20,0.0,188.5
2022-09-21,0.0,188.5
2022-09-22,0.0,188.5
2022-09-26,-0.5,188.0
2022-09-27,5.0,193.0
2022-09-28,0.0,193.0
2022-09-29,0.0,193.0
2022-10-03,0.0,193.0
2022-10-04,0.0,193.0
2022-10-05,-1.0,192.0
2022-10-06,0.0,192.0
2022-10-10,0.0,192.0
2022-10-11,0.0,192.0
2022-10-12,2.5,194.5
2022-10-13,0.0,194.5
2022-10-17,0.0,194.5
2022-10-18,0.0,194.5
2022-10-19,0.0,194.5
2022-10-20,3.0,197.5
2022-10-24,0.0,197.5
2022-10-25,0.0,197.5
2022-10-26,0.0,197.5
2022-10-27,0.0,197.5
2022-10-31,0.0,197.5
2022-11-01,0.0,197.5
2022-11-02,3.0,200.5
2022-11-03,0.0,200.5
2022-11-07,0.0,200.5
2022-11-08,0.0,200.5
2022-11-09,0.0,200.5
2022-11-10,0.0,200.5
2022-11-14,-0.5,200.0
2022-11-15,0.0,200.0
2022-11-16,0.0,200.0
2022-11-17,0.0,200.0
2022-11-21,0.0,200.0
2022-11-22,1.5,201.5
2022-11-23,-1.0,200.5
2022-11-28,2.0,202.5
2022-11-29,0.0,202.5
2022-11-30,0.0,202.5
2022-12-01,3.0,205.5
2022-12-05,0.0,205.5
2022-12-06,2.0,207.5
2022-12-07,1.5,209.0
2022-12-08,2.5,211.5
2022-12-12,0.5,212.0
2022-12-13,0.0,212.0
2022-12-14,0.0,212.0
2022-12-15,0.0,212.0
2022-12-19,0.0,212.0
2022-12-20,0.0,212.0
2022-12-21,0.0,212.0
2022-12-22,0.0,212.0
2022-12-27,0.0,212.0
2022-12-28,3.5,215.5
2022-12-29,5.0,220.5
2023-01-03,0.0,220.5
2023-01-04,0.0,220.5
2023-01-05,0.5,221.0
2023-01-09,0.0,221.0
2023-01-10,0.5,221.5
2023-01-11,0.0,221.5
2023-01-12,0.0,221.5
2023-01-17,0.0,221.5
2023-01-18,0.0,221.5
2023-01-19,0.0,221.5
2023-01-23,0.0,221.5
2023-01-24,-1.0,220.5
2023-01-25,-1.0,219.5
2023-01-26,0.0,219.5
2023-01-30,0.0,219.5
2023-01-31,1.0,220.5
2023-02-01,0.0,220.5
2023-02-02,0.0,220.5
2023-02-06,0.0,220.5
2023-02-07,0.0,220.5
2023-02-08,0.0,220.5
2023-02-09,0.0,220.5
2023-02-13,4.0,224.5
2023-02-14,-0.5,224.0
2023-02-15,0.0,224.0
2023-02-16,0.0,224.0
2023-02-21,0.0,224.0
2023-02-22,0.0,224.0
2023-02-23,0.0,224.0
2023-02-27,0.0,224.0
2023-02-28,2.5,226.5
2023-03-01,0.0,226.5
2023-03-02,0.0,226.5
2023-03-06,1.5,228.0
2023-03-07,0.0,228.0
2023-03-08,0.0,228.0
2023-03-09,0.0,228.0
2023-03-13,0.0,228.0
2023-03-14,0.0,228.0
2023-03-15,0.0,228.0
2023-03-16,0.0,228.0
2023-03-20,0.0,228.0
2023-03-21,0.0,228.0
2023-03-22,0.0,228.0
2023-03-23,-1.0,227.0
2023-03-27,0.0,227.0
2023-03-28,0.0,227.0
2023-03-29,0.0,227.0
2023-03-30,0.0,227.0
2023-04-03,0.0,227.0
2023-04-04,-1.0,226.0
2023-04-05,5.5,231.5
2023-04-06,0.0,231.5
2023-04-10,4.0,235.5
2023-04-11,0.0,235.5
2023-04-12,0.0,235.5
2023-04-13,-1.0,234.5
2023-04-17,0.0,234.5
2023-04-18,0.0,234.5
2023-04-19,0.0,234.5
2023-04-20,0.0,234.5
2023-04-24,0.0,234.5
2023-04-25,0.0,234.5
2023-04-26,1.5,236.0
2023-04-27,0.0,236.0
2023-05-01,0.0,236.0
2023-05-02,0.0,236.0
2023-05-03,0.0,236.0
2023-05-04,0.0,236.0
2023-05-08,0.0,236.0
2023-05-09,-0.5,235.5
2023-05-10,0.0,235.5
2023-05-11,0.0,235.5
2023-05-15,3.5,239.0
2023-05-16,0.0,239.0
2023-05-17,0.0,239.0
2023-05-18,0.0,239.0
2023-05-22,0.0,239.0
2023-05-23,0.0,239.0
2023-05-24,0.0,239.0
2023-05-25,0.0,239.0
2023-05-30,0.0,239.0
2023-05-31,1.5,240.5
2023-06-01,0.0,240.5
2023-06-05,0.0,240.5
2023-06-06,0.0,240.5
2023-06-07,3.5,244.0
2023-06-08,0.0,244.0
2023-06-12,0.0,244.0
2023-06-13,0.0,244.0
2023-06-14,0.0,244.0
2023-06-15,0.0,244.0
2023-06-20,1.5,245.5
2023-06-21,0.0,245.5
2023-06-22,3.5,249.0
2023-06-26,1.5,250.5
2023-06-27,0.0,250.5
2023-06-28,7.5,258.0
2023-06-29,0.0,258.0
2023-07-05,-0.5,257.5
2023-07-06,0.0,257.5
2023-07-10,0.0,257.5
2023-07-11,0.0,257.5
2023-07-12,2.5,260.0
2023-07-13,0.0,260.0
2023-07-17,-0.5,259.5
2023-07-18,7.0,266.5
2023-07-19,0.0,266.5
2023-07-20,0.0,266.5
2023-07-24,0.5,267.0
2023-07-25,0.0,267.0
2023-07-26,0.0,267.0
2023-07-27,0.0,267.0
2023-07-31,0.0,267.0
2023-08-01,0.0,267.0
2023-08-02,0.0,267.0
2023-08-03,0.0,267.0
2023-08-07,-0.5,266.5
2023-08-08,-0.5,266.0
2023-08-09,0.0,266.0
2023-08-10,2.0,268.0
2023-08-14,2.5,270.5
2023-08-15,4.5,275.0
2023-08-16,0.0,275.0
2023-08-17,0.0,275.0
2023-08-21,0.0,275.0
2023-08-22,0.0,275.0
2023-08-23,0.0,275.0
2023-08-24,0.0,275.0
2023-08-28,0.0,275.0
2023-08-29,0.0,275.0
2023-08-30,0.0,275.0
2023-08-31,0.0,275.0
2023-09-05,0.0,275.0
2023-09-06,1.0,276.0
2023-09-07,2.0,278.0
2023-09-11,0.0,278.0
2023-09-12,0.0,278.0
2023-09-13,0.0,278.0
2023-09-14,0.0,278.0
2023-09-18,0.0,278.0
2023-09-19,0.0,278.0
2023-09-20,1.5,279.5
2023-09-21,0.0,279.5
2023-09-25,1.5,281.0
2023-09-26,1.5,282.5
2023-09-27,5.5,288.0
2023-09-28,0.0,288.0
2023-10-02,0.0,288.0
2023-10-03,-0.5,287.5
2023-10-04,1.5,289.0
2023-10-05,0.0,289.0
2023-10-09,6.0,295.0
2023-10-10,0.0,295.0
2023-10-11,0.0,295.0
2023-10-12,3.0,298.0
2023-10-16,0.0,298.0
2023-10-17,0.0,298.0
2023-10-18,0.0,298.0
2023-10-19,-0.5,297.5
2023-10-23,0.0,297.5
2023-10-24,3.5,301.0
2023-10-25,0.0,301.0
2023-10-26,0.0,301.0
2023-10-30,0.0,301.0
2023-10-31,0.0,301.0
2023-11-01,0.0,301.0
2023-11-02,0.0,301.0
2023-11-06,0.0,301.0
2023-11-07,0.0,301.0
2023-11-08,0.0,301.0
2023-11-09,0.0,301.0
2023-11-13,3.5,304.5
2023-11-14,-56.0,248.5
2023-11-15,0.0,248.5
2023-11-16,0.0,248.5
2023-11-20,0.0,248.5
2023-11-21,2.0,250.5
2023-11-22,0.0,250.5
2023-11-27,-0.5,250.0
2023-11-28,4.5,254.5
2023-11-29,-1.0,253.5
2023-11-30,0.0,253.5
2023-12-04,5.0,258.5
2023-12-05,0.0,258.5
2023-12-06,3.0,261.5
2023-12-07,3.5,265.0
2023-12-11,0.0,265.0
2023-12-12,0.0,265.0
2023-12-13,0.0,265.0
2023-12-14,0.0,265.0
2023-12-18,0.0,265.0
2023-12-19,0.0,265.0
2023-12-20,0.0,265.0
2023-12-21,7.0,272.0
2023-12-26,0.0,272.0
2023-12-27,0.0,272.0
2023-12-28,-1.0,271.0
2024-01-02,0.0,271.0
2024-01-03,0.5,271.5
2024-01-04,5.5,277.0
2024-01-08,2.5,279.5
