session_date,asia_start_ts,reference_ts,side,ny_close,entry_price,gap_points,gap_bps,exit_ts,exit_price,exit_reason,filled,minutes_held,gross_points,mae_points,mfe_points,asia_bars,cost_points,net_points,gross_pnl_dollars,net_pnl_dollars
2023-01-05,2023-01-05 18:00:00-05:00,2023-01-05 17:00:00-05:00,Short,10836.75,10837.75,1.0,0.9227858906037326,2023-01-05 18:05:00-05:00,10836.75,target,True,5.0,1.0,5.5,5.0,72,0.75,0.25,2.0,0.5
2023-01-10,2023-01-10 18:00:00-05:00,2023-01-10 17:00:00-05:00,Short,11280.75,11281.75,1.0,0.886465882144361,2023-01-10 18:05:00-05:00,11280.75,target,True,5.0,1.0,5.25,10.5,72,0.75,0.25,2.0,0.5
2023-01-24,2023-01-24 18:00:00-05:00,2023-01-24 17:00:00-05:00,Short,11972.75,11973.0,0.25,0.20880750036541312,2023-01-24 18:05:00-05:00,11972.75,target,True,5.0,0.25,3.5,26.75,72,0.75,-0.5,0.5,-1.0
2023-01-25,2023-01-25 18:00:00-05:00,2023-01-25 17:00:00-05:00,Short,11874.75,11875.0,0.25,0.21053074801574773,2023-01-25 18:05:00-05:00,11874.75,target,True,5.0,0.25,3.5,7.25,72,0.75,-0.5,0.5,-1.0
2023-01-31,2023-01-31 18:00:00-05:00,2023-01-31 17:00:00-05:00,Short,12120.0,12121.25,1.25,1.0313531353135315,2023-01-31 18:05:00-05:00,12120.0,target,True,5.0,1.25,0.25,12.5,72,0.75,0.5,2.5,1.0
2023-02-13,2023-02-13 18:00:00-05:00,2023-02-13 17:00:00-05:00,Short,12545.0,12547.75,2.75,2.19210840972499,2023-02-13 18:05:00-05:00,12545.0,target,True,5.0,2.75,2.5,12.25,72,0.75,2.0,5.5,4.0
2023-02-14,2023-02-14 18:00:00-05:00,2023-02-14 17:00:00-05:00,Short,12618.25,12618.75,0.5,0.3962514611772631,2023-02-14 18:05:00-05:00,12618.25,target,True,5.0,0.5,5.75,10.5,72,0.75,-0.25,1.0,-0.5
2023-02-28,2023-02-28 18:00:00-05:00,2023-02-28 17:00:00-05:00,Short,12040.75,12042.75,2.0,1.6610260988725787,2023-02-28 18:05:00-05:00,12040.75,target,True,5.0,2.0,3.5,9.75,72,0.75,1.25,4.0,2.5
2023-03-06,2023-03-06 18:00:00-05:00,2023-03-06 17:00:00-05:00,Short,12321.0,12322.5,1.5,1.2174336498660823,2023-03-06 18:05:00-05:00,12321.0,target,True,5.0,1.5,4.75,10.0,72,0.75,0.75,3.0,1.5
2023-03-23,2023-03-23 18:00:00-04:00,2023-03-23 17:00:00-04:00,Short,12871.75,12872.0,0.25,0.19422378464466758,2023-03-23 18:05:00-04:00,12871.75,target,True,5.0,0.25,9.0,4.0,72,0.75,-0.5,0.5,-1.0
2023-04-04,2023-04-04 18:00:00-04:00,2023-04-04 17:00:00-04:00,Short,13231.75,13232.0,0.25,0.1889394826836964,2023-04-04 18:05:00-04:00,13231.75,target,True,5.0,0.25,3.0,6.75,72,0.75,-0.5,0.5,-1.0
2023-04-05,2023-04-05 18:00:00-04:00,2023-04-05 17:00:00-04:00,Short,13071.75,13075.25,3.5,2.6775297875188864,2023-04-05 18:05:00-04:00,13071.75,target,True,5.0,3.5,0.0,17.25,72,0.75,2.75,7.0,5.5
2023-04-06,2023-04-06 18:00:00-04:00,2023-04-06 17:00:00-04:00,Short,13163.5,13164.25,0.75,0.5697572833972727,2023-04-06 18:05:00-04:00,13163.5,target,True,5.0,0.75,0.0,19.75,72,0.75,0.0,1.5,0.0
2023-04-10,2023-04-10 18:00:00-04:00,2023-04-10 17:00:00-04:00,Short,13166.0,13168.75,2.75,2.088713352574814,2023-04-10 18:05:00-04:00,13166.0,target,True,5.0,2.75,0.0,10.0,72,0.75,2.0,5.5,4.0
2023-04-13,2023-04-13 18:00:00-04:00,2023-04-13 17:00:00-04:00,Short,13180.75,13181.0,0.25,0.18967054226808033,2023-04-13 18:05:00-04:00,13180.75,target,True,5.0,0.25,5.0,4.25,72,0.75,-0.5,0.5,-1.0
2023-04-24,2023-04-24 18:00:00-04:00,2023-04-24 17:00:00-04:00,Short,13049.5,13050.25,0.75,0.5747346641633779,2023-04-24 18:05:00-04:00,13049.5,target,True,5.0,0.75,1.75,7.5,72,0.75,0.0,1.5,0.0
2023-04-26,2023-04-26 18:00:00-04:00,2023-04-26 17:00:00-04:00,Short,12960.5,12962.0,1.5,1.1573627560665098,2023-04-26 18:05:00-04:00,12960.5,target,True,5.0,1.5,7.25,2.5,72,0.75,0.75,3.0,1.5
2023-05-09,2023-05-09 18:00:00-04:00,2023-05-09 17:00:00-04:00,Short,13261.0,13261.5,0.5,0.3770454716838851,2023-05-09 18:05:00-04:00,13261.0,target,True,5.0,0.5,0.0,7.75,72,0.75,-0.25,1.0,-0.5
