Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
22,Entry short,2025-11-07 00:39,P6S|sig=1762493940000|zone=1762473600000|prox=26074.50|dist=26107.75|rvol=0.8208|room=6.5912,26075.75,1,52151.5,-66,-0.13,0,21.5,0.04,-66,-0.13,112,0.11,146
23,Exit long,2025-11-10 09:47,P6 Long Exit,26403.75,1,52601.5,206,0.39,0,206,0.39,-43,-0.08,318,0.32,47
23,Entry long,2025-11-10 09:00,P6L|sig=1762783200000|zone=1762776000000|prox=26303.75|dist=26271.00|rvol=0.8494|room=4.0148,26300.75,1,52601.5,206,0.39,0,206,0.39,-43,-0.08,318,0.32,47
24,Exit short,2025-11-11 10:33,P6 Short Exit,26279,1,52758,200,0.38,0,200,0.38,-49.5,-0.09,518,0.52,142
24,Entry short,2025-11-11 08:11,P6S|sig=1762866660000|zone=1762858800000|prox=26379.00|dist=26403.00|rvol=0.9623|room=3.89,26379,1,52758,200,0.38,0,200,0.38,-49.5,-0.09,518,0.52,142
25,Exit short,2025-11-11 21:09,P6 Short Exit,26504.5,1,52986.5,-22.5,-0.04,0,13,0.02,-22.5,-0.04,495.5,0.50,13
25,Entry short,2025-11-11 20:56,P6S|sig=1762912560000|zone=1762830000000|prox=26493.00|dist=26503.50|rvol=0.9153|room=18.3696,26493.25,1,52986.5,-22.5,-0.04,0,13,0.02,-22.5,-0.04,495.5,0.50,13
26,Exit short,2025-11-12 00:37,P6 Short Exit,26494,1,52969.5,-18.5,-0.03,0,20,0.04,-18.5,-0.03,477,0.48,28
26,Entry short,2025-11-12 00:09,P6S|sig=1762924140000|zone=1762916400000|prox=26483.50|dist=26493.00|rvol=0.778|room=19.2143,26484.75,1,52969.5,-18.5,-0.03,0,20,0.04,-18.5,-0.03,477,0.48,28
27,Exit short,2025-11-17 02:14,P6 Short Exit,26045,1,52046.5,-43.5,-0.08,0,74.5,0.14,-43.5,-0.08,433.5,0.43,56
27,Entry short,2025-11-17 01:18,P6S|sig=1763360280000|zone=1763352000000|prox=26023.00|dist=26044.00|rvol=0.8946|room=4.25,26023.25,1,52046.5,-43.5,-0.08,0,74.5,0.14,-43.5,-0.08,433.5,0.43,56
28,Exit long,2025-11-17 05:29,P6 Long Exit,25985,1,52003.5,-33.5,-0.06,0,25,0.05,-33.5,-0.06,400,0.40,11
28,Entry long,2025-11-17 05:18,P6L|sig=1763374680000|zone=1763359200000|prox=26004.25|dist=25986.00|rvol=1.151|room=15.5065,26001.75,1,52003.5,-33.5,-0.06,0,25,0.05,-33.5,-0.06,400,0.40,11
29,Exit short,2025-11-20 04:32,P6 Short Exit,25827,1,51855.5,201.5,0.39,0,201.5,0.39,-29.5,-0.06,601.5,0.60,48
29,Entry short,2025-11-20 03:44,P6S|sig=1763628240000|zone=1763618400000|prox=25927.00|dist=25964.75|rvol=0.9194|room=12.4129,25927.75,1,51855.5,201.5,0.39,0,201.5,0.39,-29.5,-0.06,601.5,0.60,48
30,Exit short,2025-12-02 04:01,P6 Short Exit,26191.25,1,52343.5,-39,-0.07,0,27.5,0.05,-39,-0.07,562.5,0.56,15
30,Entry short,2025-12-02 03:46,P6S|sig=1764665160000|zone=1764640800000|prox=26171.25|dist=26190.25|rvol=0.7514|room=6.575,26171.75,1,52343.5,-39,-0.07,0,27.5,0.05,-39,-0.07,562.5,0.56,15
31,Exit short,2025-12-02 11:12,P6 Short Exit,26324.25,1,52849,200.5,0.38,0,200.5,0.38,-6.5,-0.01,763,0.76,21
31,Entry short,2025-12-02 10:51,P6S|sig=1764690660000|zone=1763020800000|prox=26424.25|dist=26445.00|rvol=0.9375|room=8.1494,26424.5,1,52849,200.5,0.38,0,200.5,0.38,-6.5,-0.01,763,0.76,21
32,Exit long,2025-12-04 10:25,P6 Long Exit,26278.5,1,52635.5,-78.5,-0.15,0,165.5,0.31,-78.5,-0.15,684.5,0.68,51
32,Entry long,2025-12-04 09:34,P6L|sig=1764858840000|zone=1764777600000|prox=26320.50|dist=26279.50|rvol=0.8909|room=4.9702,26317.75,1,52635.5,-78.5,-0.15,0,165.5,0.31,-78.5,-0.15,684.5,0.68,51
33,Exit long,2025-12-05 08:43,P6 Long Exit,26365.25,1,52768,-37.5,-0.07,0,21.5,0.04,-37.5,-0.07,647,0.65,5
33,Entry long,2025-12-05 08:38,P6L|sig=1764941880000|zone=1764889200000|prox=26388.75|dist=26366.25|rvol=0.9266|room=3.6277,26384,1,52768,-37.5,-0.07,0,21.5,0.04,-37.5,-0.07,647,0.65,5
34,Exit short,2025-12-05 09:30,P6 Short Exit,26491.75,1,52958,-25.5,-0.05,0,8.5,0.02,-25.5,-0.05,621.5,0.62,0
34,Entry short,2025-12-05 09:30,P6S|sig=1764945000000|zone=1764932400000|prox=26474.00|dist=26490.75|rvol=0.9108|room=6.338,26479,1,52958,-25.5,-0.05,0,8.5,0.02,-25.5,-0.05,621.5,0.62,0
