time,open,high,low,close,P6 · research proximal,P6 · direction (+1/-1),P6 · opposing room R,P6 · zone created Unix seconds,P6 · active research entry,P6 · active stop,P6 · active target
2026-09-04T14:09:00-04:00,29483.5,29490,29479.75,29489.25,,,,,,,
2026-09-04T14:10:00-04:00,29489.5,29493.5,29485.5,29492.5,,,,,,,
2026-09-04T14:11:00-04:00,29492,29497.25,29488.75,29489.75,,,,,,,
2026-09-04T14:12:00-04:00,29490.25,29495.25,29488.5,29491.75,,,,,,,
2026-09-04T14:13:00-04:00,29491.75,29495.25,29489.5,29491.5,,,,,,,
2026-09-04T14:14:00-04:00,29492,29494.5,29486.5,29488.5,,,,,,,
2026-09-04T14:15:00-04:00,29488.25,29492.75,29486,29487.75,,,,,,,
2026-09-04T14:16:00-04:00,29487.5,29491,29484.5,29489.25,,,,,,,
2026-09-04T14:17:00-04:00,29489.75,29494,29487.75,29492.5,,,,,,,
2026-09-04T14:18:00-04:00,29492.25,29503.25,29492.25,29501.5,,,,,,,
2026-09-04T14:19:00-04:00,29501.75,29506.5,29501.5,29505,,,,,,,
2026-09-04T14:20:00-04:00,29505,29510.75,29501.25,29509.75,,,,,,,
2026-09-04T14:21:00-04:00,29510,29515,29507,29512.75,,,,,,,
2026-09-04T14:22:00-04:00,29512.5,29513.5,29508.5,29511,,,,,,,
2026-09-04T14:23:00-04:00,29511,29512.5,29507.75,29510,,,,,,,
2026-09-04T14:24:00-04:00,29509.75,29512.5,29505.25,29506.25,,,,,,,
2026-09-04T14:25:00-04:00,29506.5,29511.75,29506,29509.25,,,,,,,
2026-09-04T14:26:00-04:00,29508.75,29511.25,29503.25,29506.5,,,,,,,
2026-09-04T14:27:00-04:00,29506.5,29511.5,29502.25,29510.5,,,,,,,
2026-09-04T14:28:00-04:00,29511,29511.25,29503.75,29504.5,,,,,,,
2026-09-04T14:29:00-04:00,29504.5,29511.75,29501.75,29510.75,,,,,,,
2026-09-04T14:30:00-04:00,29511,29518,29510.75,29514.75,,,,,,,
2026-09-04T14:31:00-04:00,29514.5,29516.75,29511,29514.5,,,,,,,
2026-09-04T14:32:00-04:00,29514.75,29517,29511.25,29515,,,,,,,
2026-09-04T14:33:00-04:00,29515.5,29516,29512,29514.5,,,,,,,
2026-09-04T14:34:00-04:00,29515,29518.75,29514.5,29517.5,,,,,,,
2026-09-04T14:35:00-04:00,29517.5,29519.5,29509.75,29512.5,,,,,,,
2026-09-04T14:36:00-04:00,29512.75,29513.25,29505,29509.75,,,,,,,
2026-09-04T14:37:00-04:00,29509.5,29512.5,29504.75,29505.5,,,,,,,
2026-09-04T14:38:00-04:00,29505.5,29512.25,29504.5,29511.5,,,,,,,
2026-09-04T14:39:00-04:00,29511,29511.75,29507.5,29511.25,,,,,,,
2026-09-04T14:40:00-04:00,29511,29516.25,29507,29508.75,,,,,,,
2026-09-04T14:41:00-04:00,29508.5,29513,29504.5,29508.25,,,,,,,
2026-09-04T14:42:00-04:00,29508.75,29514,29508.5,29511.25,,,,,,,
2026-09-04T14:43:00-04:00,29511.25,29520.25,29509.75,29519,,,,,,,
2026-09-04T14:44:00-04:00,29519.25,29524.5,29518.75,29521.25,,,,,,,
2026-09-04T14:45:00-04:00,29520.75,29525,29520.25,29523.75,,,,,,,
2026-09-04T14:46:00-04:00,29523.25,29528.5,29522,29523,,,,,,,
2026-09-04T14:47:00-04:00,29523,29527.75,29522.75,29526.25,,,,,,,
2026-09-04T14:48:00-04:00,29526.25,29527.75,29521,29524.5,,,,,,,
2026-09-04T14:49:00-04:00,29524.5,29528.5,29523.5,29527.5,,,,,,,
2026-09-04T14:50:00-04:00,29527.5,29528,29523.5,29525.25,,,,,,,
2026-09-04T14:51:00-04:00,29525,29525.75,29521.25,29523.75,,,,,,,
2026-09-04T14:52:00-04:00,29523.5,29529.75,29522.75,29529.5,,,,,,,
2026-09-04T14:53:00-04:00,29529.25,29530.25,29526,29526.75,,,,,,,
2026-09-04T14:54:00-04:00,29527,29531,29526.5,29528.75,,,,,,,
2026-09-04T14:55:00-04:00,29528.75,29534.75,29525.25,29531.25,,,,,,,
2026-09-04T14:56:00-04:00,29531.5,29538.5,29530.5,29537.75,,,,,,,
2026-09-04T14:57:00-04:00,29538,29541.25,29535.5,29540.75,,,,,,,
2026-09-04T14:58:00-04:00,29541,29542.5,29535.5,29537.5,,,,,,,
2026-09-04T14:59:00-04:00,29537.75,29540.5,29536.25,29538.5,,,,,,,
2026-09-04T15:00:00-04:00,29538.5,29544.25,29531.5,29538.25,,,,,,,
2026-09-04T15:01:00-04:00,29538.25,29541,29534.75,29538,,,,,,,
2026-09-04T15:02:00-04:00,29538.25,29538.25,29525.75,29528.5,,,,,,,
2026-09-04T15:03:00-04:00,29528,29528.5,29518.75,29519.75,,,,,,,
2026-09-04T15:04:00-04:00,29519.75,29520.75,29509.25,29512.25,,,,,,,
2026-09-04T15:05:00-04:00,29512.5,29518.5,29511.25,29518.5,,,,,,,
