Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
50,Entry long,2026-02-04 11:44,P6L|sig=1770223380000|zone=1766037600000|prox=25494.00|dist=25462.00|room=14.0758,25494,1,50988,-66,-0.13,0,12.5,0.02,-66,-0.13,-27,0.00,4
51,Exit long,2026-02-05 07:23,P6 Long Exit,25422.75,1,50968.5,-123,-0.24,0,8.5,0.02,-123,-0.24,-150,-0.01,2
51,Entry long,2026-02-05 07:21,P6L|sig=1770294000000|zone=1770260400000|prox=25470.00|dist=25423.75|room=3.1111,25484.25,1,50968.5,-123,-0.24,0,8.5,0.02,-123,-0.24,-150,-0.01,2
52,Exit long,2026-02-05 07:46,P6 Long Exit,25247.75,1,50593,-97.5,-0.19,0,35.5,0.07,-97.5,-0.19,-247.5,-0.02,1
52,Entry long,2026-02-05 07:45,P6L|sig=1770295440000|zone=1763989200000|prox=25263.00|dist=25248.75|room=23.2131,25296.5,1,50593,-97.5,-0.19,0,35.5,0.07,-97.5,-0.19,-247.5,-0.02,1
53,Exit long,2026-02-05 09:34,P6 Long Exit,25280.25,1,50456.5,104,0.21,0,104,0.21,-47,-0.09,-143.5,-0.01,1
53,Entry long,2026-02-05 09:33,P6L|sig=1770301920000|zone=1763978400000|prox=25180.25|dist=25119.00|room=7.0161,25228.25,1,50456.5,104,0.21,0,104,0.21,-47,-0.09,-143.5,-0.01,1
54,Exit long,2026-02-09 05:06,P6 Long Exit,25563,1,51199.5,-73.5,-0.14,0,6,0.01,-73.5,-0.14,-217,-0.02,9
54,Entry long,2026-02-09 04:57,P6L|sig=1770630960000|zone=1770404400000|prox=25592.50|dist=25564.00|room=4.5169,25599.75,1,51199.5,-73.5,-0.14,0,6,0.01,-73.5,-0.14,-217,-0.02,9
55,Exit short,2026-02-09 10:14,P6 Short Exit,25724,1,51288,-160,-0.31,0,87,0.17,-160,-0.31,-377,-0.04,28
55,Entry short,2026-02-09 09:46,P6S|sig=1770648300000|zone=1770624000000|prox=25667.50|dist=25723.00|room=12.9956,25644,1,51288,-160,-0.31,0,87,0.17,-160,-0.31,-377,-0.04,28
56,Exit long,2026-02-10 07:24,P6 Long Exit,25916,1,51627.5,204.5,0.40,0,204.5,0.40,-28.5,-0.06,-172.5,-0.02,349
56,Entry long,2026-02-10 01:35,P6L|sig=1770705240000|zone=1770692400000|prox=25816.00|dist=25786.75|room=2.0579,25813.75,1,51627.5,204.5,0.40,0,204.5,0.40,-28.5,-0.06,-172.5,-0.02,349
57,Exit short,2026-02-11 05:01,P6 Short Exit,25677.5,1,51551,196,0.38,0,196,0.38,-23.5,-0.05,23.5,0.00,58
57,Entry short,2026-02-11 04:03,P6S|sig=1770800520000|zone=1770793200000|prox=25777.50|dist=25798.50|room=38.375,25775.5,1,51551,196,0.38,0,196,0.38,-23.5,-0.05,23.5,0.00,58
58,Exit short,2026-02-11 09:37,P6 Short Exit,25858.5,1,51898,181,0.35,0,181,0.35,-49.5,-0.10,204.5,0.02,40
58,Entry short,2026-02-11 08:57,P6S|sig=1770818160000|zone=1770202800000|prox=25958.50|dist=25999.25|room=24.5569,25949,1,51898,181,0.35,0,181,0.35,-49.5,-0.10,204.5,0.02,40
59,Exit long,2026-02-12 08:40,P6 Long Exit,25909.75,1,51619.5,200,0.39,0,200,0.39,-18,-0.03,404.5,0.04,424
59,Entry long,2026-02-12 01:36,P6L|sig=1770878100000|zone=1770861600000|prox=25809.75|dist=25777.25|room=4.4403,25809.75,1,51619.5,200,0.39,0,200,0.39,-18,-0.03,404.5,0.04,424
60,Exit short,2026-02-13 01:25,P6 Short Exit,25195,1,50608,218,0.43,0,218,0.43,-15,-0.03,622.5,0.06,128
60,Entry short,2026-02-12 23:17,P6S|sig=1770956160000|zone=1770948000000|prox=25295.00|dist=25340.50|room=7.7796,25304,1,50608,218,0.43,0,218,0.43,-15,-0.03,622.5,0.06,128
61,Exit short,2026-02-13 04:24,P6 Short Exit,25312.5,1,50527.5,-97.5,-0.19,0,162,0.32,-97.5,-0.19,525,0.05,126
61,Entry short,2026-02-13 02:18,P6S|sig=1770967020000|zone=1770955200000|prox=25258.50|dist=25311.50|room=6.0231,25263.75,1,50527.5,-97.5,-0.19,0,162,0.32,-97.5,-0.19,525,0.05,126
62,Exit long,2026-02-15 22:41,P6 Long Exit,25316.5,1,50688,-55,-0.11,0,1.5,0.00,-55,-0.11,470,0.05,50
62,Entry long,2026-02-15 21:51,P6L|sig=1771210200000|zone=1771200000000|prox=25344.50|dist=25317.50|room=3.6696,25344,1,50688,-55,-0.11,0,1.5,0.00,-55,-0.11,470,0.05,50
63,Exit short,2026-02-16 02:01,P6 Short Exit,25349.75,1,50668,-31.5,-0.06,0,11.5,0.02,-31.5,-0.06,438.5,0.04,14
63,Entry short,2026-02-16 01:47,P6S|sig=1771224360000|zone=1771214400000|prox=25331.75|dist=25348.75|room=5.2083,25334,1,50668,-31.5,-0.06,0,11.5,0.02,-31.5,-0.06,438.5,0.04,14
64,Exit short,2026-02-17 01:11,P6 Short Exit,25139.25,1,50236,-42.5,-0.08,0,2,0.00,-42.5,-0.08,396,0.04,2
64,Entry short,2026-02-17 01:09,P6S|sig=1771308480000|zone=1771300800000|prox=25118.00|dist=25138.25|room=8.6941,25118,1,50236,-42.5,-0.08,0,2,0.00,-42.5,-0.08,396,0.04,2
65,Exit long,2026-02-17 05:41,P6 Long Exit,25131.25,1,50341.5,-79,-0.16,0,12.5,0.02,-79,-0.16,317,0.03,28
65,Entry long,2026-02-17 05:13,P6L|sig=1771323120000|zone=1771315200000|prox=25168.50|dist=25132.25|room=4.3893,25170.75,1,50341.5,-79,-0.16,0,12.5,0.02,-79,-0.16,317,0.03,28
66,Exit short,2026-02-17 08:51,P6 Short Exit,25176.75,1,50215.5,-138,-0.27,0,45,0.09,-138,-0.27,179,0.02,27
66,Entry short,2026-02-17 08:24,P6S|sig=1771334580000|zone=1771326000000|prox=25113.75|dist=25175.75|room=2.8651,25107.75,1,50215.5,-138,-0.27,0,45,0.09,-138,-0.27,179,0.02,27
67,Exit short,2026-02-17 14:36,P6 Short Exit,25390.25,1,50745.5,-35,-0.07,0,75.5,0.15,-35,-0.07,144,0.01,40
67,Entry short,2026-02-17 13:56,P6S|sig=1771354500000|zone=1771243200000|prox=25371.50|dist=25389.25|room=23.3733,25372.75,1,50745.5,-35,-0.07,0,75.5,0.15,-35,-0.07,144,0.01,40
68,Exit short,2026-02-18 04:12,P6 Short Exit,25431.5,1,50825.5,-37.5,-0.07,0,36.5,0.07,-37.5,-0.07,106.5,0.01,55
68,Entry short,2026-02-18 03:17,P6S|sig=1771402560000|zone=1771232400000|prox=25403.50|dist=25430.50|room=2.5,25412.75,1,50825.5,-37.5,-0.07,0,36.5,0.07,-37.5,-0.07,106.5,0.01,55
69,Exit short,2026-02-18 07:06,P6 Short Exit,25449.25,1,50848,-50.5,-0.10,0,1.5,0.00,-50.5,-0.10,56,0.01,4
69,Entry short,2026-02-18 07:02,P6S|sig=1771416060000|zone=1771408800000|prox=25417.50|dist=25448.25|room=2.6457,25424,1,50848,-50.5,-0.10,0,1.5,0.00,-50.5,-0.10,56,0.01,4
70,Exit long,2026-02-18 09:30,P6 Long Exit,25309.25,1,50679.5,-61,-0.12,0,34,0.07,-61,-0.12,-5,0.00,41
