Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
133,Entry short,2026-03-25 23:31,1h first touch + room,24646.75,1,49293.5,-58,-0.12,0,1,0.00,-58,-0.12,1120.5,0.11,3
134,Exit short,2026-03-26 09:51,P6 Short Exit,24496.25,1,48892.5,-100,-0.20,0,175,0.36,-100,-0.20,1020.5,0.10,33
134,Entry short,2026-03-26 09:18,1h first touch + room,24446.25,1,48892.5,-100,-0.20,0,175,0.36,-100,-0.20,1020.5,0.10,33
135,Exit long,2026-03-26 15:31,P6 Long Exit,24107.5,1,48364,-149,-0.31,0,23.5,0.05,-149,-0.31,871.5,0.09,100
135,Entry long,2026-03-26 13:51,1h first touch + room,24182,1,48364,-149,-0.31,0,23.5,0.05,-149,-0.31,871.5,0.09,100
136,Exit short,2026-03-27 00:55,P6 Short Exit,24203.5,1,48326,-81,-0.17,0,62,0.13,-81,-0.17,790.5,0.08,203
136,Entry short,2026-03-26 21:32,1h first touch + room,24163,1,48326,-81,-0.17,0,62,0.13,-81,-0.17,790.5,0.08,203
137,Exit short,2026-03-31 16:00,15:00 CT close,24211.25,1,48412,-10.5,-0.02,0,62.5,0.13,-121.5,-0.25,780,0.08,19
137,Entry short,2026-03-31 15:41,1h first touch + room,24206,1,48412,-10.5,-0.02,0,62.5,0.13,-121.5,-0.25,780,0.08,19
138,Exit long,2026-04-01 09:36,P6 Long Exit,24464.25,1,48715.5,213,0.44,0,213,0.44,-57.5,-0.12,993,0.10,44
138,Entry long,2026-04-01 08:52,1h first touch + room,24357.75,1,48715.5,213,0.44,0,213,0.44,-57.5,-0.12,993,0.10,44
139,Exit long,2026-04-01 22:14,P6 Long Exit,24159.75,1,48426.5,-107,-0.22,0,4,0.01,-107,-0.22,886,0.09,3
139,Entry long,2026-04-01 22:11,1h first touch + room,24213.25,1,48426.5,-107,-0.22,0,4,0.01,-107,-0.22,886,0.09,3
