reference_close,reference_ts,reference_age_hours,asia_start_ts,asia_end_ts,side,ny_close,entry_price,raw_gap_points,gap_points,gap_bps,filled,fill_bar_ts,fill_minutes_upper_bound,exit_ts,exit_price,gross_points,net_points,gross_pnl_dollars,net_pnl_dollars,mae_points_bar_based,mfe_points_bar_based,asia_bars
16:00,2020-07-15 16:00:00-04:00,2.0,2020-07-15 18:00:00-04:00,2020-07-16 00:00:00-04:00,Short,10687.25,10692.75,5.5,5.5,5.146319212145313,True,2020-07-15 18:00:00-04:00,5.0,2020-07-15 18:05:00-04:00,10687.25,5.5,5.25,11.0,10.5,2.75,6.0,72
16:00,2020-07-16 16:00:00-04:00,2.0,2020-07-16 18:00:00-04:00,2020-07-17 00:00:00-04:00,Long,10613.5,10534.0,-79.5,79.5,74.90460262872756,False,,,2020-07-17 00:00:00-04:00,10592.75,58.75,58.5,117.5,117.0,10.5,73.75,72
16:00,2020-07-20 16:00:00-04:00,2.0,2020-07-20 18:00:00-04:00,2020-07-21 00:00:00-04:00,Short,10936.5,10952.25,15.75,15.75,14.401316691811823,True,2020-07-20 18:40:00-04:00,45.0,2020-07-20 18:45:00-04:00,10936.5,15.75,15.5,31.5,31.0,27.75,20.5,72
16:00,2020-07-21 16:00:00-04:00,2.0,2020-07-21 18:00:00-04:00,2020-07-22 00:00:00-04:00,Short,10823.5,10850.5,27.0,27.0,24.945719961195547,False,,,2020-07-22 00:00:00-04:00,10895.5,-45.0,-45.25,-90.0,-90.5,65.75,7.5,72
16:00,2020-07-22 16:00:00-04:00,2.0,2020-07-22 18:00:00-04:00,2020-07-23 00:00:00-04:00,Long,10859.0,10849.75,-9.25,9.25,8.518279767934432,True,2020-07-22 18:15:00-04:00,20.0,2020-07-22 18:20:00-04:00,10859.0,9.25,9.0,18.5,18.0,17.5,11.5,72
16:00,2020-07-23 16:00:00-04:00,2.0,2020-07-23 18:00:00-04:00,2020-07-24 00:00:00-04:00,Long,10572.25,10566.25,-6.0,6.0,5.675234694601433,True,2020-07-23 18:00:00-04:00,5.0,2020-07-23 18:05:00-04:00,10572.25,6.0,5.75,12.0,11.5,0.0,12.5,72
16:00,2020-07-27 16:00:00-04:00,2.0,2020-07-27 18:00:00-04:00,2020-07-28 00:00:00-04:00,Short,10660.75,10683.0,22.25,22.25,20.870951856107684,False,,,2020-07-28 00:00:00-04:00,10696.25,-13.25,-13.5,-26.5,-27.0,75.5,2.5,72
16:00,2020-07-28 16:00:00-04:00,2.0,2020-07-28 18:00:00-04:00,2020-07-29 00:00:00-04:00,Short,10525.5,10557.75,32.25,32.25,30.639874590280748,True,2020-07-28 21:35:00-04:00,220.0,2020-07-28 21:40:00-04:00,10525.5,32.25,32.0,64.5,64.0,21.75,33.0,72
16:00,2020-07-29 16:00:00-04:00,2.0,2020-07-29 18:00:00-04:00,2020-07-30 00:00:00-04:00,Short,10650.25,10699.5,49.25,49.25,46.24304593788879,False,,,2020-07-30 00:00:00-04:00,10674.0,25.5,25.25,51.0,50.5,3.25,47.75,72
16:00,2020-07-30 16:00:00-04:00,2.0,2020-07-30 18:00:00-04:00,2020-07-31 00:00:00-04:00,Short,10704.75,10905.0,200.25,200.25,187.0664891753661,False,,,2020-07-31 00:00:00-04:00,10906.5,-1.5,-1.75,-3.0,-3.5,34.25,26.5,72
16:00,2020-08-03 16:00:00-04:00,2.0,2020-08-03 18:00:00-04:00,2020-08-04 00:00:00-04:00,Short,11038.0,11052.5,14.5,14.5,13.136437760463851,True,2020-08-03 18:00:00-04:00,5.0,2020-08-03 18:05:00-04:00,11038.0,14.5,14.25,29.0,28.5,2.0,21.75,72
16:00,2020-08-04 16:00:00-04:00,2.0,2020-08-04 18:00:00-04:00,2020-08-05 00:00:00-04:00,Long,11084.25,11079.25,-5.0,5.0,4.510905113110946,True,2020-08-04 22:45:00-04:00,290.0,2020-08-04 22:50:00-04:00,11084.25,5.0,4.75,10.0,9.5,23.5,11.5,72
16:00,2020-08-05 16:00:00-04:00,2.0,2020-08-05 18:00:00-04:00,2020-08-06 00:00:00-04:00,Long,11111.0,11093.5,-17.5,17.5,15.750157501575016,True,2020-08-05 20:20:00-04:00,145.0,2020-08-05 20:25:00-04:00,11111.0,17.5,17.25,35.0,34.5,9.0,20.0,72
16:00,2020-08-06 16:00:00-04:00,2.0,2020-08-06 18:00:00-04:00,2020-08-07 00:00:00-04:00,Short,11254.25,11260.25,6.0,6.0,5.331319279383344,True,2020-08-06 18:00:00-04:00,5.0,2020-08-06 18:05:00-04:00,11254.25,6.0,5.75,12.0,11.5,4.5,7.75,72
16:00,2020-08-10 16:00:00-04:00,2.0,2020-08-10 18:00:00-04:00,2020-08-11 00:00:00-04:00,Long,11078.5,11072.5,-6.0,6.0,5.415895653743738,True,2020-08-10 20:00:00-04:00,125.0,2020-08-10 20:05:00-04:00,11078.5,6.0,5.75,12.0,11.5,14.25,6.0,72
16:00,2020-08-11 16:00:00-04:00,2.0,2020-08-11 18:00:00-04:00,2020-08-12 00:00:00-04:00,Short,10868.75,10923.25,54.5,54.5,50.143760782058656,False,,,2020-08-12 00:00:00-04:00,10911.75,11.5,11.25,23.0,22.5,26.25,45.0,72
16:00,2020-08-12 16:00:00-04:00,2.0,2020-08-12 18:00:00-04:00,2020-08-13 00:00:00-04:00,Long,11146.5,11115.75,-30.75,30.75,27.587134975104295,True,2020-08-12 20:15:00-04:00,140.0,2020-08-12 20:20:00-04:00,11146.5,30.75,30.5,61.5,61.0,10.5,32.25,72
16:00,2020-08-13 16:00:00-04:00,2.0,2020-08-13 18:00:00-04:00,2020-08-14 00:00:00-04:00,Short,11170.0,11181.0,11.0,11.0,9.847806624888092,False,,,2020-08-14 00:00:00-04:00,11201.0,-20.0,-20.25,-40.0,-40.5,33.25,0.5,72
16:00,2020-08-17 16:00:00-04:00,2.0,2020-08-17 18:00:00-04:00,2020-08-18 00:00:00-04:00,Short,11284.25,11285.25,1.0,1.0,0.8861909298358331,True,2020-08-17 18:00:00-04:00,5.0,2020-08-17 18:05:00-04:00,11284.25,1.0,0.75,2.0,1.5,3.5,3.25,72
