reference_close,side,max_gap_bps,trades,fills,fill_rate,fill_ci95_low,fill_ci95_high,median_gap_points,mean_gap_points,mean_gap_bps,median_fill_minutes,avg_gross_pnl_dollars,avg_net_pnl_dollars,avg_net_pnl_ci95_low,avg_net_pnl_ci95_high,net_pnl_tstat,total_net_pnl_dollars,net_win_rate,profit_factor,max_drawdown_dollars,avg_mae_points
16:00,Long,25.0,484,370,0.7644628099173554,0.7246683006605801,0.8000923471676136,12.0,14.679235537190083,8.570294744033257,10.0,0.46797520661157027,-0.03202479338842975,-7.088818120045516,7.024768533268657,-0.008894612502204914,-15.5,0.7913223140495868,0.9984077251014433,1742.5,29.789256198347108
16:00,Long,40.0,523,387,0.739961759082218,0.7007143771636571,0.775709783784074,13.25,17.131453154875718,10.21437878262489,10.0,-0.16539196940726578,-0.6653919694072657,-7.752598964136492,6.42181502532196,-0.1840138586183863,-348.0,0.7724665391969407,0.9705546389135677,2221.5,32.02151051625239
16:00,Long,60.0,554,403,0.7274368231046932,0.6888866419621156,0.7628546117363184,14.125,20.50451263537906,12.418766255006897,15.0,3.7978339350180503,3.2978339350180503,-3.9556451063661164,10.551312976402217,0.8911083569327135,1827.0,0.7689530685920578,1.1448103673760552,1748.0,33.00135379061372
16:00,Long,100.0,569,405,0.7117750439367311,0.6732367511645074,0.7474730216069148,14.5,23.150702987697716,14.2517061895991,15.0,3.038664323374341,2.538664323374341,-4.811745764181769,9.88907441093045,0.6769269500108126,1444.5,0.7609841827768014,1.1048106225511536,1629.5,34.32337434094903
16:00,Short,0.5,17,17,1.0,0.8156818626193445,1.0,0.5,0.6029411764705882,0.33117802469834096,5.0,1.2058823529411764,0.7058823529411765,0.48262035496570377,0.9291443509166493,6.196773353931867,12.0,0.8235294117647058,inf,0.0,8.544117647058824
16:00,Short,1.0,46,45,0.9782608695652174,0.8866470536689368,0.99615214578451,1.0,1.016304347826087,0.6044413451211844,5.0,0.43478260869565216,-0.06521739130434782,-3.190965952489319,3.0605311698806235,-0.04089380083789491,-3.0,0.9130434782608695,0.958041958041958,71.5,11.543478260869565
16:00,Short,2.0,86,84,0.9767441860465116,0.9191198537004109,0.9935990738533299,1.625,1.8488372093023255,1.0232445527007132,5.0,2.3430232558139537,1.8430232558139534,-0.15696876850010044,3.8430152801280073,1.8061368188690912,158.5,0.9418604651162791,2.440909090909091,83.0,12.787790697674419
16:00,Short,3.0,133,126,0.9473684210526315,0.8953452204869319,0.974274271828093,2.5,2.757518796992481,1.563266704389707,5.0,-0.6766917293233082,-1.1766917293233083,-6.766905953303521,4.413522494656904,-0.41255546499063683,-156.5,0.924812030075188,0.7993589743589744,351.5,13.592105263157896
16:00,Short,5.0,198,184,0.9292929292929293,0.8848279044958796,0.9574172959808862,3.75,3.9987373737373737,2.332961443516466,5.0,0.5656565656565656,0.06565656565656566,-4.567254831095773,4.698567962408904,0.02777616363237869,13.0,0.9141414141414141,1.0097087378640777,456.5,13.827020202020202
16:00,Short,7.5,292,255,0.8732876712328768,0.830226050357911,0.9066551184422699,5.5,6.151541095890411,3.582714375712209,5.0,0.833904109589041,0.3339041095890411,-3.794668890138833,4.462477109316915,0.1585148268638368,97.5,0.8664383561643836,1.035642478523122,600.5,16.006849315068493
16:00,Short,10.0,366,300,0.819672131147541,0.7770288661353895,0.8556746731265634,7.0,7.692622950819672,4.623803618503579,5.0,-2.16120218579235,-2.66120218579235,-7.047359830231421,1.724955458646721,-1.1891639342893143,-974.0,0.8142076502732241,0.8047509271324045,1246.5,18.880464480874316
16:00,Short,15.0,477,359,0.7526205450733753,0.7119824809534903,0.7892222208222255,9.25,10.539832285115304,6.461343492055975,5.0,-2.9685534591194966,-3.4685534591194966,-7.768340383747853,0.8312334655088596,-1.581064371587966,-1654.5,0.7631027253668763,0.7925131677953349,2068.5,21.17819706498952
16:00,Short,25.0,585,426,0.7282051282051282,0.6907523042930794,0.7626804422856974,11.5,14.100427350427351,8.888148872770168,15.0,-0.6461538461538462,-1.146153846153846,-5.580334827219991,3.2880271349122983,-0.5066144766114064,-670.5,0.747008547008547,0.9387531399862983,1825.5,23.514529914529916
16:00,Short,40.0,660,450,0.6818181818181818,0.6453190700637643,0.7162130349126969,13.375,18.159469696969698,11.41149627612432,20.0,-3.4242424242424243,-3.9242424242424243,-8.935506165862886,1.0870213173780372,-1.534817218840046,-2590.0,0.7090909090909091,0.8316487373655302,3460.5,27.043181818181818
16:00,Short,60.0,688,454,0.6598837209302325,0.6236833800132187,0.6943085488829461,14.25,20.65406976744186,12.933152237018232,20.0,-5.573401162790698,-6.073401162790698,-11.462788356717287,-0.6840139688641083,-2.2087200656212587,-4178.5,0.6933139534883721,0.7670132983913686,4878.0,29.156976744186046
16:00,Short,100.0,707,454,0.6421499292786421,0.6061338034812923,0.6766296699890489,14.5,23.875530410183874,14.799317706986704,20.0,-8.53111739745403,-9.03111739745403,-14.915338141585252,-3.14689665332281,-3.0081578765442827,-6385.0,0.6803394625176803,0.6894606293468216,6939.5,30.80799151343706
17:00,All,0.5,183,177,0.9672131147540983,0.9303259084292232,0.9848885253685755,0.5,0.46584699453551914,0.2768695691981615,5.0,-0.726775956284153,-1.226775956284153,-2.682228841160444,0.22867692859213817,-1.6520196121545239,-224.5,0.5300546448087432,0.25166666666666665,256.0,10.498633879781421
