trade_id,zone_id,direction,timeframe,zone_formed_at,zone_available_at,zone_proximal,zone_distal,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,points,pnl,first_touch_prior_5m_rvol
1342,7979,long,1h,2026-02-12 03:00:00+00:00,2026-02-12 04:00:00+00:00,25301.5,25269.0,2026-02-12 06:35:00+00:00,25301.5,25268.0,25401.5,2026-02-12 13:40:00+00:00,25401.5,target,100.0,200.0,1.1728970221013009
1343,7986,short,1h,2026-02-13 03:00:00+00:00,2026-02-13 04:00:00+00:00,24786.75,24832.25,2026-02-13 04:16:00+00:00,24786.75,24833.25,24686.75,2026-02-13 06:25:00+00:00,24686.75,target,100.0,200.0,0.9241945672773215
1344,7987,short,1h,2026-02-13 05:00:00+00:00,2026-02-13 06:00:00+00:00,24750.25,24803.25,2026-02-13 07:17:00+00:00,24750.25,24804.25,24650.25,2026-02-13 09:24:00+00:00,24804.25,stop,-54.0,-108.0,1.1941173596521228
1345,7995,short,1h,2026-02-16 13:00:00+00:00,2026-02-16 14:00:00+00:00,24863.25,24881.0,2026-02-17 18:55:00+00:00,24863.25,24882.0,24763.25,2026-02-17 19:36:00+00:00,24882.0,stop,-18.75,-37.5,1.1685724699719429
1346,7993,short,1h,2026-02-16 10:00:00+00:00,2026-02-16 11:00:00+00:00,24895.25,24922.25,2026-02-18 08:16:00+00:00,24895.25,24923.25,24795.25,2026-02-18 09:12:00+00:00,24923.25,stop,-28.0,-56.0,1.078088026502603
1347,8006,short,1h,2026-02-19 04:00:00+00:00,2026-02-19 05:00:00+00:00,24979.75,24999.5,2026-02-19 05:30:00+00:00,24979.75,25000.5,24879.75,2026-02-19 05:48:00+00:00,25000.5,stop,-20.75,-41.5,1.1290664032178392
1348,8017,short,1h,2026-02-24 05:00:00+00:00,2026-02-24 06:00:00+00:00,24873.0,24890.25,2026-02-24 12:03:00+00:00,24873.0,24891.25,24773.0,2026-02-24 12:06:00+00:00,24891.25,stop,-18.25,-36.5,0.9589068542004768
1349,8018,long,1h,2026-02-24 13:00:00+00:00,2026-02-24 14:00:00+00:00,24832.75,24796.25,2026-02-24 14:20:00+00:00,24832.75,24795.25,24932.75,2026-02-24 14:30:00+00:00,24795.25,stop,-37.5,-75.0,0.8258062513579788
1350,8016,long,1h,2026-02-23 20:00:00+00:00,2026-02-23 21:00:00+00:00,24727.5,24678.5,2026-02-24 14:33:00+00:00,24727.5,24677.5,24827.5,2026-02-24 14:40:00+00:00,24827.5,target,100.0,200.0,1.1619569029137902
1351,8021,short,1h,2026-02-25 03:00:00+00:00,2026-02-25 04:00:00+00:00,25102.75,25118.0,2026-02-25 11:35:00+00:00,25102.75,25119.0,25002.75,2026-02-25 11:46:00+00:00,25119.0,stop,-16.25,-32.5,0.87861760405841
1352,7983,short,1h,2026-02-12 14:00:00+00:00,2026-02-12 15:00:00+00:00,25356.75,25420.0,2026-02-25 15:00:00+00:00,25356.75,25421.0,25256.75,2026-02-25 21:00:00+00:00,25381.75,timed_close,-25.0,-50.0,0.9323508596644603
1353,8027,long,1h,2026-02-26 05:00:00+00:00,2026-02-26 06:00:00+00:00,25301.0,25281.5,2026-02-26 14:30:00+00:00,25301.0,25280.5,25401.0,2026-02-26 14:31:00+00:00,25280.5,stop,-20.5,-41.0,0.9381241656231566
1354,8031,short,1h,2026-02-26 21:00:00+00:00,2026-02-26 22:00:00+00:00,25063.0,25093.75,2026-02-27 07:22:00+00:00,25063.0,25094.75,24963.0,2026-02-27 09:18:00+00:00,25094.75,stop,-31.75,-63.5,0.8775614463302491
1355,8036,short,1h,2026-03-02 18:00:00+00:00,2026-03-02 19:00:00+00:00,25033.25,25076.5,2026-03-02 19:10:00+00:00,25033.25,25077.5,24933.25,2026-03-02 19:16:00+00:00,25077.5,stop,-44.25,-88.5,0.9523204714608682
1356,8041,long,1h,2026-03-03 18:00:00+00:00,2026-03-03 19:00:00+00:00,24671.5,24601.75,2026-03-03 23:06:00+00:00,24671.5,24600.75,24771.5,2026-03-04 00:18:00+00:00,24771.5,target,100.0,200.0,0.867301277357416
1357,8066,short,1h,2026-03-10 18:00:00+00:00,2026-03-10 19:00:00+00:00,25156.25,25217.75,2026-03-11 14:00:00+00:00,25156.25,25218.75,25056.25,2026-03-11 14:16:00+00:00,25056.25,target,100.0,200.0,0.915263251995631
1358,8071,long,1h,2026-03-12 05:00:00+00:00,2026-03-12 06:00:00+00:00,24728.75,24709.25,2026-03-12 13:45:00+00:00,24728.75,24708.25,24828.75,2026-03-12 13:46:00+00:00,24708.25,stop,-20.5,-41.0,0.8017540680261727
1359,8074,short,1h,2026-03-13 02:00:00+00:00,2026-03-13 03:00:00+00:00,24626.0,24661.25,2026-03-13 03:47:00+00:00,24626.0,24662.25,24526.0,2026-03-13 06:37:00+00:00,24526.0,target,100.0,200.0,1.1071358142941659
1360,8058,long,1h,2026-03-09 14:00:00+00:00,2026-03-09 15:00:00+00:00,24380.0,24313.25,2026-03-13 17:49:00+00:00,24380.0,24312.25,24480.0,2026-03-13 20:00:00+00:00,24385.75,timed_close,5.75,11.5,1.0658224325076537
1361,8104,short,1h,2026-03-19 23:00:00+00:00,2026-03-20 00:00:00+00:00,24629.25,24658.5,2026-03-20 00:01:00+00:00,24629.25,24659.5,24529.25,2026-03-20 01:46:00+00:00,24659.5,stop,-30.25,-60.5,1.0454325220826657
1362,8108,long,1h,2026-03-20 15:00:00+00:00,2026-03-20 16:00:00+00:00,24285.75,24231.5,2026-03-20 16:30:00+00:00,24285.75,24230.5,24385.75,2026-03-20 17:05:00+00:00,24230.5,stop,-55.25,-110.5,1.0167215501665365
1363,8117,short,1h,2026-03-24 23:00:00+00:00,2026-03-25 00:00:00+00:00,24422.5,24457.5,2026-03-25 00:11:00+00:00,24422.5,24458.5,24322.5,2026-03-25 00:32:00+00:00,24458.5,stop,-36.0,-72.0,0.7574543738545451
1364,8118,long,1h,2026-03-25 00:00:00+00:00,2026-03-25 01:00:00+00:00,24426.25,24383.25,2026-03-25 01:31:00+00:00,24426.25,24382.25,24526.25,2026-03-25 02:00:00+00:00,24382.25,stop,-44.0,-88.0,0.9113988863524843
1365,8121,long,1h,2026-03-25 11:00:00+00:00,2026-03-25 12:00:00+00:00,24454.5,24426.5,2026-03-25 12:16:00+00:00,24454.5,24425.5,24554.5,2026-03-25 12:23:00+00:00,24425.5,stop,-29.0,-58.0,1.1002222153953285
1366,8124,short,1h,2026-03-26 11:00:00+00:00,2026-03-26 12:00:00+00:00,24155.5,24202.5,2026-03-26 13:17:00+00:00,24155.5,24203.5,24055.5,2026-03-26 13:51:00+00:00,24203.5,stop,-48.0,-96.0,0.9866260060839156
1367,8127,short,1h,2026-03-27 00:00:00+00:00,2026-03-27 01:00:00+00:00,23869.25,23909.75,2026-03-27 01:31:00+00:00,23869.25,23910.75,23769.25,2026-03-27 04:55:00+00:00,23910.75,stop,-41.5,-83.0,0.9175419533985271
1368,7499,long,1h,2025-09-07 22:00:00+00:00,2025-09-07 23:00:00+00:00,23691.0,23650.5,2026-03-27 10:38:00+00:00,23691.0,23649.5,23791.0,2026-03-27 10:55:00+00:00,23649.5,stop,-41.5,-83.0,1.0947410335902614
