date,SND baseline,1h reference,1h · no BOS,1h · RVOL 0.75–1.25,1h · impulse/prior volume <0.75,1h · first SND test,1h · first physical touch,1h · width ≤0.5 ATR,1h · opposing room ≥2R/open
2021-12-23,-9324.5,-8242.5,-5311.5,-3477.5,-2109.5,-3092.0,-2418.0,-7550.0,-5704.0
2021-12-24,-9324.5,-8242.5,-5311.5,-3477.5,-2109.5,-3092.0,-2418.0,-7550.0,-5704.0
2021-12-25,-9324.5,-8242.5,-5311.5,-3477.5,-2109.5,-3092.0,-2418.0,-7550.0,-5704.0
2021-12-26,-9382.0,-8300.0,-5369.0,-3477.5,-2109.5,-3149.5,-2475.5,-7550.0,-5761.5
2021-12-27,-9659.5,-8494.0,-5460.0,-3568.5,-2019.5,-3343.5,-2669.5,-7550.0,-5955.5
2021-12-28,-9202.5,-8461.5,-5491.0,-3568.5,-2077.0,-3242.5,-2511.0,-7550.0,-5923.0
2021-12-29,-8982.5,-8270.5,-5525.5,-3368.5,-2102.5,-3051.5,-2320.0,-7359.0,-5732.0
2021-12-30,-8948.5,-8236.5,-5369.5,-3408.5,-2102.5,-2973.5,-2242.0,-7399.0,-5772.0
2021-12-31,-8782.0,-8070.0,-5169.5,-3408.5,-2102.5,-2807.0,-2075.5,-7432.5,-5605.5
2022-01-01,-8782.0,-8070.0,-5169.5,-3408.5,-2102.5,-2807.0,-2075.5,-7432.5,-5605.5
2022-01-02,-8782.0,-8070.0,-5169.5,-3408.5,-2102.5,-2807.0,-2075.5,-7432.5,-5605.5
2022-01-03,-9095.5,-8208.0,-5307.5,-3408.5,-2145.5,-2875.0,-2143.5,-7500.5,-5743.5
2022-01-04,-9323.5,-8361.0,-5363.5,-3448.0,-2145.5,-3028.0,-2296.5,-7567.0,-5886.0
2022-01-05,-9691.0,-8651.5,-5556.5,-3632.0,-2145.5,-3221.0,-2489.5,-7567.0,-6176.5
2022-01-06,-10102.5,-8718.5,-5623.5,-3699.0,-2145.5,-3288.0,-2556.5,-7634.0,-6176.5
2022-01-07,-10502.5,-8718.5,-5623.5,-3699.0,-2145.5,-3288.0,-2556.5,-7634.0,-6176.5
2022-01-08,-10502.5,-8718.5,-5623.5,-3699.0,-2145.5,-3288.0,-2556.5,-7634.0,-6176.5
2022-01-09,-10502.5,-8718.5,-5623.5,-3699.0,-2145.5,-3288.0,-2556.5,-7634.0,-6176.5
2022-01-10,-10910.0,-8970.0,-5775.0,-3699.0,-2178.5,-3495.5,-2764.0,-7711.0,-6428.0
2022-01-11,-11243.0,-9111.0,-5916.0,-3699.0,-2178.5,-3436.5,-2628.0,-7775.0,-6692.0
2022-01-12,-11272.5,-9140.5,-5916.0,-3699.0,-2178.5,-3466.0,-2657.5,-7804.5,-6721.5
2022-01-13,-11424.5,-9224.0,-5999.5,-3782.5,-2178.5,-3549.5,-2741.0,-7825.5,-6805.0
2022-01-14,-11701.5,-9301.0,-6038.0,-3821.0,-2428.0,-3541.5,-2733.0,-7921.5,-6882.0
2022-01-15,-11701.5,-9301.0,-6038.0,-3821.0,-2428.0,-3541.5,-2733.0,-7921.5,-6882.0
2022-01-16,-11701.5,-9301.0,-6038.0,-3821.0,-2428.0,-3541.5,-2733.0,-7921.5,-6882.0
2022-01-17,-11747.0,-9286.5,-6023.5,-3764.5,-2470.0,-3436.5,-2628.0,-7907.0,-6867.5
2022-01-18,-11742.5,-9282.0,-6019.0,-3764.5,-2470.0,-3036.5,-2228.0,-7907.0,-6863.0
2022-01-19,-11006.0,-9459.5,-5767.5,-3668.0,-2665.0,-3115.5,-2228.5,-7907.0,-6655.0
2022-01-20,-10811.0,-9064.5,-5616.0,-3724.5,-2665.0,-2795.0,-1908.0,-7786.5,-6260.0
2022-01-21,-11344.0,-9597.5,-6007.5,-3724.5,-2784.5,-3283.5,-2396.5,-8000.0,-6793.0
2022-01-22,-11344.0,-9597.5,-6007.5,-3724.5,-2784.5,-3283.5,-2396.5,-8000.0,-6793.0
2022-01-23,-11344.0,-9597.5,-6007.5,-3724.5,-2784.5,-3283.5,-2396.5,-8000.0,-6793.0
2022-01-24,-11363.5,-9581.5,-5954.0,-3603.5,-2784.5,-3424.0,-2511.0,-8114.5,-6977.0
2022-01-25,-11696.5,-9714.5,-5887.0,-3636.0,-2817.0,-3757.0,-2844.0,-8249.0,-7310.0
2022-01-26,-12249.5,-9528.0,-5700.5,-3636.0,-2417.0,-3770.5,-2857.5,-7862.5,-7123.5
2022-01-27,-12049.5,-9328.0,-5500.5,-3636.0,-2417.0,-3870.5,-2957.5,-7962.5,-6923.5
2022-01-28,-12212.0,-9401.5,-5574.0,-3636.0,-2430.5,-3700.0,-2787.0,-8036.0,-6997.0
2022-01-29,-12212.0,-9401.5,-5574.0,-3636.0,-2430.5,-3700.0,-2787.0,-8036.0,-6997.0
2022-01-30,-12212.0,-9401.5,-5574.0,-3636.0,-2430.5,-3700.0,-2787.0,-8036.0,-6997.0
2022-01-31,-12636.0,-9471.0,-5643.5,-3681.5,-2430.5,-3769.5,-2856.5,-8105.5,-7066.5
2022-02-01,-12541.5,-9376.5,-5680.0,-3587.0,-2430.5,-3606.0,-2693.0,-8011.0,-6972.0
2022-02-02,-11944.5,-9179.5,-5592.0,-3538.5,-2142.5,-3357.5,-2444.5,-7902.0,-6863.0
2022-02-03,-11480.0,-9015.5,-5768.0,-3553.5,-1991.5,-3133.5,-2220.5,-7851.5,-6699.0
2022-02-04,-12166.5,-9015.5,-5768.0,-3353.5,-2191.5,-3133.5,-2220.5,-7651.5,-6499.0
2022-02-05,-12166.5,-9015.5,-5768.0,-3353.5,-2191.5,-3133.5,-2220.5,-7651.5,-6499.0
2022-02-06,-12166.5,-9015.5,-5768.0,-3353.5,-2191.5,-3133.5,-2220.5,-7651.5,-6499.0
2022-02-07,-12566.5,-8996.0,-5748.5,-3221.5,-2191.5,-3114.0,-2201.0,-7544.0,-6323.5
2022-02-08,-12855.0,-9014.5,-5608.5,-3180.0,-2191.5,-3332.5,-2419.5,-7641.5,-6421.0
2022-02-09,-12779.0,-8938.5,-5653.5,-3225.0,-2015.5,-3011.5,-2098.5,-7496.5,-6300.0
2022-02-10,-12780.5,-8976.5,-5731.5,-3225.0,-2093.0,-2941.5,-2028.5,-7527.0,-6338.0
2022-02-11,-12775.5,-8770.5,-5452.5,-3219.0,-1693.0,-2740.5,-1827.5,-7127.0,-6132.0
2022-02-12,-12775.5,-8770.5,-5452.5,-3219.0,-1693.0,-2740.5,-1827.5,-7127.0,-6132.0
2022-02-13,-12775.5,-8770.5,-5452.5,-3219.0,-1693.0,-2740.5,-1827.5,-7191.0,-6132.0
2022-02-14,-12772.0,-8815.5,-5329.5,-3464.0,-1661.0,-2642.0,-1729.0,-7191.0,-6177.0
2022-02-15,-12779.0,-8863.5,-5377.5,-3512.0,-1661.0,-2636.0,-1723.0,-7239.0,-6171.0
2022-02-16,-12838.5,-8751.5,-5265.5,-3373.5,-1661.0,-2462.5,-1549.5,-7265.5,-6032.5
2022-02-17,-12833.0,-8612.5,-5065.5,-3173.5,-1661.0,-2323.5,-1410.5,-7126.5,-5893.5
2022-02-18,-13534.5,-9114.0,-5567.0,-3436.0,-1828.5,-2709.0,-1796.0,-7219.5,-6189.5
2022-02-19,-13534.5,-9114.0,-5567.0,-3436.0,-1828.5,-2709.0,-1796.0,-7219.5,-6189.5
2022-02-20,-13571.5,-9151.0,-5604.0,-3473.0,-1828.5,-2746.0,-1833.0,-7256.5,-6226.5
2022-02-21,-13571.5,-9151.0,-5604.0,-3473.0,-1828.5,-2746.0,-1833.0,-7256.5,-6226.5
2022-02-22,-13163.0,-9214.5,-5514.0,-3833.0,-1828.5,-2809.5,-1896.5,-7180.0,-6150.0
2022-02-23,-12563.0,-9074.0,-5373.5,-3692.5,-1828.5,-2609.5,-1696.5,-6839.5,-5809.5
2022-02-24,-13043.5,-9554.5,-5621.0,-3692.5,-1828.5,-3090.0,-2177.0,-6955.0,-6242.5
2022-02-25,-13161.0,-9672.0,-5917.5,-4010.0,-1828.5,-3207.5,-2294.5,-7051.5,-6263.5
2022-02-26,-13161.0,-9672.0,-5917.5,-4010.0,-1828.5,-3207.5,-2294.5,-7051.5,-6263.5
2022-02-27,-13161.0,-9672.0,-5917.5,-4010.0,-1828.5,-3207.5,-2294.5,-7051.5,-6263.5
2022-02-28,-13410.0,-9708.5,-5856.5,-3889.5,-1920.5,-3198.5,-2285.5,-7029.5,-6300.0
2022-03-01,-13902.0,-9174.0,-5322.0,-3355.0,-1920.5,-2864.0,-1951.0,-6895.0,-6165.5
2022-03-02,-13593.0,-9211.0,-5359.0,-3355.0,-1920.5,-2901.0,-1988.0,-6932.0,-6174.0
2022-03-03,-13972.5,-9313.5,-5461.5,-3355.0,-1920.5,-2803.5,-1890.5,-7034.5,-6248.0
2022-03-04,-13622.5,-8963.5,-5111.5,-3005.0,-1970.5,-2453.5,-1540.5,-7084.5,-5898.0
2022-03-05,-13622.5,-8963.5,-5111.5,-3005.0,-1970.5,-2453.5,-1540.5,-7084.5,-5898.0
2022-03-06,-13622.5,-8963.5,-5111.5,-3005.0,-1970.5,-2453.5,-1540.5,-7084.5,-5898.0
2022-03-07,-13737.0,-9000.0,-5148.0,-2938.0,-2074.0,-2439.0,-1526.0,-7017.5,-5831.0
2022-03-08,-12901.5,-8367.5,-4548.0,-2938.0,-2074.0,-2039.0,-1126.0,-7017.5,-5231.0
2022-03-09,-12901.5,-7967.5,-4548.0,-2538.0,-2074.0,-1639.0,-726.0,-6617.5,-4631.0
2022-03-10,-12922.0,-7924.0,-4348.0,-2694.5,-2074.0,-1623.5,-710.5,-6217.5,-4415.5
2022-03-11,-13108.0,-8170.0,-4466.5,-2694.5,-2201.5,-1784.0,-871.0,-6336.0,-4661.5
2022-03-12,-13108.0,-8170.0,-4466.5,-2694.5,-2201.5,-1784.0,-871.0,-6336.0,-4661.5
2022-03-13,-13108.0,-8170.0,-4466.5,-2694.5,-2201.5,-1784.0,-871.0,-6336.0,-4661.5
2022-03-14,-13512.0,-8653.5,-4832.0,-2774.0,-2201.5,-2188.0,-1275.0,-6501.5,-5145.0
