variant,year,trades,win_rate,avg_points,total_points,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
First touch + impulse volume <0.75,2021,155.0,0.1935483870967742,-3.806451612903226,-590.0,-0.1507773420413678,-1180.0,0.7915010159908119,-1704.5,-1.1055425977133528,-1.6890235651790342,-0.6853436352363237,1120.4983175246614,0.25
First touch + impulse volume <0.75,2022,134.0,0.35074626865671643,8.925373134328359,1196.0,0.36409040830628453,2392.0,1.3882171549135762,-976.0,1.5918560135868358,3.0100424794397997,2.6823708346776054,1406.1814903062243,0.5833333333333334
First touch + impulse volume <0.75,2023,141.0,0.22695035460992907,1.74645390070922,246.25,0.10634513464577514,492.5,1.1022420593730538,-778.5,0.3910629581905037,0.7711331470483802,0.6704299913569576,1220.6376079567679,0.5833333333333334
First touch + impulse volume <0.75,2024,115.0,0.30434782608695654,7.671739130434783,882.25,0.013703694581883488,1764.5,1.454007461726489,-702.5,1.5476340541997176,3.211089564624058,2.4158756893319935,1096.6110930101781,0.6666666666666666
First touch + impulse volume <0.75,2025,137.0,0.2846715328467153,3.551094890510949,486.5,0.273290842465294,973.0,1.148007301490721,-949.0,0.7496047055672282,1.3357604532461071,1.1526033017485593,1356.9450755027024,0.5833333333333334
First touch + impulse volume <0.75,2026,96.0,0.34375,-2.0755208333333335,-199.25,0.21794996980507716,-398.5,0.9358809332260659,-2053.5,-0.02460445465640369,-0.036365844040227524,-0.020220466166412113,1687.6101442841914,0.5555555555555556
First touch + normal RVOL,2019,153.0,0.21568627450980393,1.446078431372549,221.25,0.036726314058126514,442.5,1.1793676530198622,-608.0,0.719616219803418,1.6271461714918383,0.9586417555234901,826.6033934932998,0.625
First touch + normal RVOL,2020,311.0,0.26366559485530544,1.369774919614148,426.0,-0.04762243311295769,852.0,1.0752118644067796,-1692.5,0.45042876624386496,0.7271038593398467,0.5344264057628212,1684.8069063429684,0.5
First touch + normal RVOL,2021,284.0,0.2147887323943662,-1.9269366197183098,-547.25,-0.13968235432007067,-1094.5,0.8882479068817644,-2160.5,-0.6992698855306821,-1.1385195123647107,-0.4777251184834123,1441.5035179657707,0.4166666666666667
First touch + normal RVOL,2022,389.0,0.2622107969151671,-0.6233933161953727,-242.5,-0.04429415081145576,-485.0,0.9741119325308922,-3083.0,-0.21671020490225631,-0.34644043747932923,-0.16275148401686185,2350.285116755322,0.5833333333333334
First touch + normal RVOL,2023,371.0,0.25067385444743934,5.40633423180593,2005.75,0.31636475371997,4011.5,1.3519322717901479,-1293.0,2.0473496622262437,4.073330813425608,3.0317508477601285,1914.696799710932,0.75
First touch + normal RVOL,2024,300.0,0.2633333333333333,2.4033333333333333,721.0,0.10773024136497786,1442.0,1.124584215300877,-2219.0,0.9661586257209175,1.704896935538948,0.8274152668025656,1752.6162872561003,0.6666666666666666
First touch + normal RVOL,2025,317.0,0.24290220820189273,-2.607255520504732,-826.5,-0.06446738638319308,-1653.0,0.8929404145077721,-3603.5,-0.7752055570605306,-1.1868395095143804,-0.4096856470899997,1925.5404474040163,0.3333333333333333
First touch + normal RVOL,2026,267.0,0.39325842696629215,7.897940074906367,2108.75,0.23034128144338786,4217.5,1.275221874184286,-1704.0,2.4046890013940687,4.3839074166763545,4.867670454545454,2833.937624538114,1.0
First touch + opposing room,2019,333.0,0.17117117117117117,-1.3776276276276276,-458.75,0.014642816929796933,-917.5,0.84375,-1511.5,-1.1629797632604313,-1.9948365336014708,-0.9159415353172514,1182.9476569648916,0.25
First touch + opposing room,2020,538.0,0.22676579925650558,0.7973977695167286,429.0,-0.1779325988780062,858.0,1.0479289445018574,-2090.0,0.11507969890545117,0.19819180670867284,0.11347195100301793,2035.1644043025474,0.4166666666666667
First touch + opposing room,2021,520.0,0.18846153846153846,-1.5807692307692307,-822.0,-0.048716264714635,-1644.0,0.9033424464238469,-3766.5,-0.8975386296559741,-1.4103456424632135,-0.4428725808036153,1905.1336376888582,0.4166666666666667
First touch + opposing room,2022,559.0,0.259391771019678,1.930679785330948,1079.25,0.09537641784588191,2158.5,1.088428685552756,-1966.0,0.8205113046871723,1.3421999042064605,1.0727729831144466,2680.261201548071,0.5833333333333334
First touch + opposing room,2023,530.0,0.21509433962264152,4.994339622641509,2647.0,0.21709142999575773,5294.0,1.3657719280063565,-966.0,2.5126802062477234,5.041062458041696,5.469806492883417,2094.15978725431,0.8333333333333334
First touch + opposing room,2024,519.0,0.21772639691714837,0.9518304431599229,494.0,0.04435868827055959,988.0,1.0554386555564907,-2300.5,0.5995344892412516,1.0297364231007198,0.5518148414301791,2072.7531863487316,0.5833333333333334
First touch + opposing room,2025,534.0,0.24157303370786518,-0.5374531835205992,-287.0,0.025816646434927742,-574.0,0.976628664495114,-1963.0,-0.13248048470820567,-0.1964604135907043,-0.19882589700009384,2481.562634781727,0.5833333333333334
First touch + opposing room,2026,382.0,0.36387434554973824,8.217277486910994,3139.0,0.15686615361074766,6278.0,1.3269280841535176,-1944.0,3.120105703449814,5.4195415944623315,5.6306342921572226,3128.3249585622716,0.6666666666666666
First touch + width + low volume,2019,51.0,0.17647058823529413,3.303921568627451,168.5,0.5004723024340811,337.0,1.5,-193.5,0.5391629801914877,1.5183781597754855,0.7615703430808197,427.98898001404655,0.5
First touch + width + low volume,2020,67.0,0.11940298507462686,-6.440298507462686,-431.5,-0.5258744372001524,-863.0,0.5653487786451775,-1126.0,-1.41469833656133,-2.4364032013370243,-0.6854435377730982,526.9108106397557,0.3333333333333333
First touch + width + low volume,2021,82.0,0.0975609756097561,-4.759146341463414,-390.25,-0.2669867266379288,-780.5,0.6190824792581747,-989.0,-1.1896214055744316,-2.443082189731914,-0.7398329982990567,554.740383276895,0.5
First touch + width + low volume,2022,69.0,0.2463768115942029,6.246376811594203,431.0,0.48442595894996543,862.0,1.3869809203142536,-645.5,1.0009998626824763,2.347858516459025,1.240583554376658,754.760727529729,0.6666666666666666
First touch + width + low volume,2023,82.0,0.15853658536585366,4.527439024390244,371.25,0.15816154481651934,742.5,1.4368932038834952,-358.5,1.0106658310649608,3.1785002101316655,2.0074026392018025,712.0591436197376,0.5833333333333334
First touch + width + low volume,2024,62.0,0.0967741935483871,-5.495967741935484,-340.75,-0.45561478885078666,-681.5,0.6120125249074865,-1067.5,-1.2478420780595214,-2.3348922441892417,-0.6140407958953823,525.2976808072136,0.25
First touch + width + low volume,2025,76.0,0.23684210526315788,6.0,456.0,0.48376643453764817,912.0,1.361474435196195,-553.0,0.9062238321834519,2.053818717959452,1.7671824679915167,856.0722813690336,0.5833333333333334
First touch + width + low volume,2026,59.0,0.3220338983050847,7.860169491525424,463.75,0.4365357136896937,927.5,1.3671086483277262,-451.0,1.5178366539004253,3.114811965591516,4.369136426855481,1034.8310810773112,0.7777777777777778
Sensitivity · first touch + width ≤0.4,2019,196.0,0.12755102040816327,1.8545918367346939,363.5,0.18436353786980558,727.0,1.3228241563055063,-550.0,0.9608109748136865,3.223832956771659,1.6684893603004152,919.4994014825705,0.5
Sensitivity · first touch + width ≤0.4,2020,262.0,0.09923664122137404,-4.5534351145038165,-1193.0,-0.41538166036170165,-2386.0,0.6427073974243785,-3153.0,-2.344450561133927,-4.150364277140516,-0.8133815585164247,996.9294926255563,0.25
Sensitivity · first touch + width ≤0.4,2021,317.0,0.1167192429022082,-0.5701892744479495,-180.75,-0.026317958140136228,-361.5,0.946149262624758,-1715.5,-0.09313408508269089,-0.20568868234840895,-0.07315523125809109,1150.7324487908843,0.16666666666666666
Sensitivity · first touch + width ≤0.4,2022,338.0,0.1804733727810651,1.5399408284023668,520.5,0.14098582019500133,1041.0,1.103705917513449,-1770.0,0.777703594033729,1.6777291232176343,0.7229693383539538,1595.22907458954,0.5833333333333334
Sensitivity · first touch + width ≤0.4,2023,331.0,0.13897280966767372,3.5619335347432024,1179.0,0.21585057796329096,2358.0,1.3742263132836057,-770.0,1.8209810191049993,5.139927019193042,3.1625874125874125,1337.2969197060547,0.8333333333333334
Sensitivity · first touch + width ≤0.4,2024,308.0,0.1331168831168831,1.150974025974026,354.5,0.0678581940171871,709.0,1.0999506590540635,-1293.5,0.6205430399558397,1.270478786979045,0.6843185392611916,1316.7117883330204,0.5833333333333334
Sensitivity · first touch + width ≤0.4,2025,312.0,0.20192307692307693,4.265224358974359,1330.75,0.20641556779521855,2661.5,1.2822674726906353,-930.0,1.6115999123202336,3.228717964547878,2.79743018224728,1597.8124986686819,0.75
Sensitivity · first touch + width ≤0.4,2026,208.0,0.2644230769230769,5.210336538461538,1083.75,0.11637880073136714,2167.5,1.2744713182221097,-895.5,1.729217086083153,3.409283942023178,3.9243415463041633,1821.2196237561645,0.6666666666666666
Sensitivity · first touch + width ≤0.6,2019,307.0,0.16612377850162866,0.8143322475570033,250.0,0.12196456874343217,500.0,1.1149293184691416,-786.0,0.4863464628867663,1.0996530134492701,0.7474677353191759,1132.6981133169918,0.625
Sensitivity · first touch + width ≤0.6,2020,460.0,0.1673913043478261,-2.4423913043478263,-1123.5,-0.3137512497875017,-2247.0,0.8350644107608177,-2472.5,-1.5042983451440821,-2.520693355056532,-0.9406675228175405,1562.9868110087195,0.3333333333333333
Sensitivity · first touch + width ≤0.6,2021,470.0,0.14468085106382977,-0.9840425531914894,-462.5,-0.04420663132254361,-925.0,0.9279538904899135,-2536.5,-0.4249439453473767,-0.7154968946143132,-0.2959732255084579,1585.929254579316,0.4166666666666667
Sensitivity · first touch + width ≤0.6,2022,465.0,0.210752688172043,1.4618279569892474,679.75,0.13398679704295746,1359.5,1.083147304363781,-1605.5,0.7561080650045748,1.4256326530523133,0.9985919333647338,2049.066074445338,0.5
Sensitivity · first touch + width ≤0.6,2023,468.0,0.17307692307692307,4.4631410256410255,2088.75,0.2561844919495547,4177.5,1.3857696924923815,-845.5,2.440326952543614,5.668205535119736,4.965946413137425,1720.5512924943419,0.8333333333333334
Sensitivity · first touch + width ≤0.6,2024,464.0,0.1724137931034483,1.253771551724138,581.75,0.050673816530229815,1163.5,1.0885969921949363,-1352.0,0.7983830085160275,1.4671827523657004,1.0827741707641738,1714.926199990405,0.5833333333333334
