entry_time,entry_bar_close,exit_time,quantity,entry,exit,gross_pnl,cost,net_pnl,exit_reason,initial_stop,initial_risk_usd,initial_target,gross_r,net_r,holding_minutes,exit_month,crossed_local_date,source_minutes_in_entry_day_flatten_window,direction
2025-07-28T09:55:00-04:00,2025-07-28T09:55:00-04:00,2025-07-28T11:20:00-04:00,1,23506.5,23464.75,-835.0,12.5,-847.5,stop,23464.75,835.0,23590.0,-1.0,-1.0149700598802396,85.0,2025-07,False,15,Long
2025-07-30T10:25:00-04:00,2025-07-30T10:25:00-04:00,2025-07-30T18:57:00+00:00,1,23515.5,23450.75,-1295.0,12.5,-1307.5,stop,23450.75,1295.0,23645.0,-1.0,-1.0096525096525097,272.0,2025-07,False,15,Long
2025-08-05T09:50:00-04:00,2025-08-05T09:50:00-04:00,2025-08-05T14:18:00+00:00,1,23381.25,23303.5,-1555.0,12.5,-1567.5,stop,23303.5,1555.0,23536.75,-1.0,-1.0080385852090032,28.0,2025-08,False,15,Long
2025-08-06T09:55:00-04:00,2025-08-06T09:55:00-04:00,2025-08-06T17:42:00+00:00,1,23230.0,23393.0,3260.0,7.5,3252.5,limit,23148.5,1630.0,23393.0,2.0,1.9953987730061349,227.0,2025-08,False,15,Long
2025-08-07T10:00:00-04:00,2025-08-07T10:00:00-04:00,2025-08-07T14:11:00+00:00,1,23654.5,23582.0,-1450.0,12.5,-1462.5,stop,23582.0,1450.0,23799.5,-1.0,-1.0086206896551724,11.0,2025-08,False,15,Long
2025-08-08T09:50:00-04:00,2025-08-08T09:50:00-04:00,2025-08-08T15:50:00-04:00,1,23628.5,23682.25,1075.0,12.5,1062.5,force-flat window,23530.0,1970.0,23825.5,0.5456852791878173,0.5393401015228426,360.0,2025-08,False,15,Long
2025-08-11T10:00:00-04:00,2025-08-11T10:00:00-04:00,2025-08-11T14:05:00-04:00,1,23744.75,23680.75,-1280.0,12.5,-1292.5,stop,23680.75,1280.0,23872.75,-1.0,-1.009765625,245.0,2025-08,False,15,Long
2025-08-12T11:10:00-04:00,2025-08-12T11:10:00-04:00,2025-08-12T15:50:00-04:00,1,23810.0,23927.75,2355.0,12.5,2342.5,force-flat window,23710.25,1995.0,24009.5,1.1804511278195489,1.1741854636591478,280.0,2025-08,False,15,Long
2025-08-14T09:50:00-04:00,2025-08-14T09:50:00-04:00,2025-08-14T15:50:00-04:00,1,23931.25,23943.25,240.0,12.5,227.5,force-flat window,23841.25,1800.0,24111.25,0.13333333333333333,0.12638888888888888,360.0,2025-08,False,15,Long
2025-08-21T10:20:00-04:00,2025-08-21T10:20:00-04:00,2025-08-21T15:56:00+00:00,1,23303.5,23199.25,-2085.0,12.5,-2097.5,stop,23199.25,2085.0,23512.0,-1.0,-1.0059952038369304,96.0,2025-08,False,15,Long
2025-08-25T10:00:00-04:00,2025-08-25T10:00:00-04:00,2025-08-25T15:50:00-04:00,1,23519.25,23546.5,545.0,12.5,532.5,force-flat window,23443.25,1520.0,23671.25,0.35855263157894735,0.3503289473684211,350.0,2025-08,False,15,Long
2025-08-26T10:25:00-04:00,2025-08-26T10:25:00-04:00,2025-08-26T15:50:00-04:00,1,23540.75,23553.5,255.0,12.5,242.5,force-flat window,23463.25,1550.0,23695.75,0.16451612903225807,0.15645161290322582,325.0,2025-08,False,15,Long
2025-08-27T10:15:00-04:00,2025-08-27T10:15:00-04:00,2025-08-27T15:50:00-04:00,1,23566.5,23627.75,1225.0,12.5,1212.5,force-flat window,23513.5,1060.0,23672.5,1.1556603773584906,1.1438679245283019,335.0,2025-08,False,15,Long
2025-09-01T09:50:00-04:00,2025-09-01T09:50:00-04:00,2025-09-01T23:21:00+00:00,1,23485.75,23441.75,-880.0,12.5,-892.5,stop,23441.75,880.0,23573.75,-1.0,-1.0142045454545454,571.0,2025-09,False,0,Long
2025-09-03T10:20:00-04:00,2025-09-03T10:20:00-04:00,2025-09-03T17:46:00+00:00,1,23443.0,23371.75,-1425.0,12.5,-1437.5,stop,23371.75,1425.0,23585.5,-1.0,-1.0087719298245614,206.0,2025-09,False,15,Long
2025-09-04T11:55:00-04:00,2025-09-04T11:55:00-04:00,2025-09-04T15:50:00-04:00,1,23551.5,23627.25,1515.0,12.5,1502.5,force-flat window,23457.25,1885.0,23740.0,0.8037135278514589,0.7970822281167109,235.0,2025-09,False,15,Long
2025-09-08T09:55:00-04:00,2025-09-08T09:55:00-04:00,2025-09-08T17:53:00+00:00,1,23865.0,23771.75,-1865.0,12.5,-1877.5,stop,23771.75,1865.0,24051.5,-1.0,-1.0067024128686326,238.0,2025-09,False,15,Long
2025-09-11T10:35:00-04:00,2025-09-11T10:35:00-04:00,2025-09-11T15:50:00-04:00,1,23998.25,24036.0,755.0,12.5,742.5,force-flat window,23911.0,1745.0,24172.75,0.4326647564469914,0.42550143266475643,315.0,2025-09,False,15,Long
2025-09-12T10:25:00-04:00,2025-09-12T10:25:00-04:00,2025-09-12T15:50:00-04:00,1,24071.5,24119.25,955.0,12.5,942.5,force-flat window,24001.5,1400.0,24211.5,0.6821428571428572,0.6732142857142858,325.0,2025-09,False,15,Long
