experiment,reference_universe,split,retention,avg_points_uplift,profit_factor_uplift,trades,win_rate,avg_points,avg_points_ci_low,avg_points_ci_high,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
1h · prior 5m RVOL 0.75–1.25,1h,Holdout 2025–26,0.3769968051118211,0.5720525125900254,0.017450957651417687,472,0.3559322033898305,1.1435381355932204,-4.408267663043478,5.907573150394174,0.06779143273712698,1079.5,1.036327842371826,-2473.5,0.35369811618397823,0.564548054402981,0.3562870360939956,2297.192290924512,0.5238095238095238
1h · prior 5m RVOL ≥1.25,1h,Overall,0.3233082706766917,-0.9584023327813376,-0.033429278754510516,1462,0.28796169630642954,-1.2823187414500683,-4.16355547848425,1.7777018355680725,-0.047251300486357325,-3749.5,0.9525640944543194,-7398.0,-0.24642215586869773,-0.37453919139458053,-0.056674342539491634,1622.1111958131778,0.47191011235955055
1h · prior 5m RVOL ≥1.25,1h,Train 2019–22,0.329518359561278,-1.540635543713126,-0.048249556519291636,691,0.2633863965267728,-3.133863965267728,-6.290733625465266,0.19787366295381367,-0.13446145571528953,-4331.0,0.8760517428882147,-5971.0,-0.7990647511267682,-1.1399150373771678,-0.20002650031155772,1463.9051117853815,0.4772727272727273
1h · prior 5m RVOL ≥1.25,1h,Validation 2023–24,0.30179028132992325,-1.136449347609346,-0.058051156533825976,354,0.2542372881355932,-0.14689265536723164,-6.4201412116961585,6.284410939211379,-0.0020003702566331627,-104.0,0.9934541792547835,-3779.5,0.038710713875327714,0.06272708024754782,0.016012794727021593,1471.5697939553188,0.4166666666666667
1h · prior 5m RVOL ≥1.25,1h,Holdout 2025–26,0.3330670926517572,0.2504568230399705,0.005419994433188302,417,0.35731414868105515,0.8219424460431655,-6.03573355478555,7.996476263152669,0.05884795122076451,685.5,1.0242968791535967,-2788.0,0.3574759403486373,0.565294537233504,0.3135828702190258,2063.2071351035197,0.5238095238095238
1h · impulse/prior volume <0.75,1h,Overall,0.186421937195931,0.9372022924172478,0.040996968738442385,843,0.2669039145907473,0.6132858837485172,-3.68474808720615,5.130492384453776,0.0486900473167995,1034.0,1.0269903419472723,-4030.5,0.11102090764043863,0.18646431538655747,0.03206041607295526,1200.739688267435,0.5056179775280899
1h · impulse/prior volume <0.75,1h,Train 2019–22,0.18741058655221746,-1.740741044094253,-0.07978367747799409,393,0.21882951653944022,-3.3339694656488548,-8.764910834681768,2.04870591416733,-0.10905052780744619,-2620.5,0.8445176219295123,-4030.5,-0.796817210056714,-1.2394631031464178,-0.18810090433127083,981.5595726826181,0.4318181818181818
1h · impulse/prior volume <0.75,1h,Validation 2023–24,0.1918158567774936,3.529332196646775,0.19170719859722962,225,0.26666666666666666,4.518888888888889,-0.8750837053571429,9.920717358995997,0.09577531320873298,2033.5,1.2432125343858391,-829.0,0.858064228164693,1.6883349292319296,1.184185350027037,1144.074794112024,0.5833333333333334
1h · impulse/prior volume <0.75,1h,Holdout 2025–26,0.17971246006389777,3.0307365992190274,0.10491082051059575,225,0.3511111111111111,3.602222222222222,-8.769021896480872,15.628784297280582,0.2771249859752152,1621.0,1.1237877052310041,-2203.5,0.6896962902518048,1.140837133134123,0.5084858237285284,1624.5534859651661,0.5714285714285714
1h · impulse/prior volume 0.75–1.25,1h,Overall,0.36466165413533835,0.3913815390507804,0.016845578484333545,1649,0.2765312310491207,0.06746513038204972,-2.7827576245138825,2.7792428766040733,-0.010114561575386686,222.5,1.0028389516931635,-7500.0,0.15948142741359692,0.26984976207022054,0.04170598911070781,1739.0415428559259,0.449438202247191
1h · impulse/prior volume 0.75–1.25,1h,Train 2019–22,0.3457319980925131,1.068745662933912,0.051707407491764834,725,0.26482758620689656,-0.5244827586206896,-4.460590043886508,3.2613315027347283,-0.003454723148755341,-760.5,0.9760087068992712,-3129.5,0.025215197057998972,0.043169489626207966,0.013795485885960712,1517.4095215954035,0.45454545454545453
1h · impulse/prior volume 0.75–1.25,1h,Validation 2023–24,0.3435635123614663,-4.027397883309112,-0.20754522999885072,403,0.20347394540942929,-3.0378411910669976,-6.5466661976647265,0.5031912780815837,-0.08054559531519259,-2448.5,0.8439601057897588,-3659.0,-0.7466212624736136,-1.305699644539992,-0.3211503389240873,1406.982109162495,0.375
1h · impulse/prior volume 0.75–1.25,1h,Holdout 2025–26,0.41613418530351437,2.7217005574190702,0.09187561257654009,521,0.3493282149712092,3.293186180422265,-2.7413017598343683,8.474258521138015,0.03509719224003376,3431.5,1.1107524972969485,-2510.0,0.987378206006631,1.6322651943978432,1.1020446990556017,2416.42640980001,0.5238095238095238
1h · impulse/prior volume ≥1.25,1h,Overall,0.44891640866873067,-0.7071180740898899,-0.03126357771422106,2030,0.25566502463054186,-1.0310344827586206,-3.372113937314271,1.4837499760412467,0.0035081755847852746,-4186.0,0.9547297954946089,-7197.0,-0.29708094370642296,-0.47046168627054835,-0.07699886728187989,1752.3484852237418,0.4157303370786517
1h · impulse/prior volume ≥1.25,1h,Train 2019–22,0.4668574153552694,-0.09267556210219086,-0.0074122314786077,979,0.23186925434116445,-1.6859039836567926,-4.394719642619621,0.9081969699088309,-0.10700705316317438,-3301.0,0.9168890679288987,-4387.5,-0.5707027574339978,-0.9124570140480168,-0.19933731838860316,1577.3663577349048,0.36363636363636365
1h · impulse/prior volume ≥1.25,1h,Validation 2023–24,0.46462063086104005,1.5209937664734823,0.0786771051618913,545,0.25321100917431194,2.5105504587155965,-2.7233273380983096,7.92873351899576,0.21206365057698642,2736.5,1.1301824409505008,-4062.5,0.8588495058419436,1.514041069085528,0.37770069600308326,1672.2451218549495,0.5416666666666666
1h · impulse/prior volume ≥1.25,1h,Holdout 2025–26,0.40415335463258784,-4.15004293525616,-0.1330171686922318,506,0.30434782608695654,-3.5785573122529644,-8.90531612115185,2.1771641772321266,-0.0072987906731142105,-3621.5,0.8858597160281766,-5849.0,-0.9397395319790726,-1.3798266150095422,-0.37362279781476965,2158.468490800444,0.38095238095238093
1h · first Sarah test,1h,Overall,0.8491817779743477,1.2716377628353974,0.058339876881012165,3840,0.2596354166666667,0.9477213541666667,-0.7189901331289625,2.700616688421645,0.03757078926520019,7278.5,1.0443332500898421,-4814.0,0.4733234990329554,0.7549738370263711,0.26190465415417075,2491.37367516809,0.5280898876404494
