variable,level,universe,split,trades,win_rate,avg_points,avg_points_ci_low,avg_points_ci_high,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
Impulse/prior volume,<0.75,1h,Holdout 2025–26,225,0.3511111111111111,3.602222222222222,-8.288590801886793,15.778074203433698,0.2771249859752152,1621.0,1.1237877052310041,-2203.5,0.6896962902518048,1.140837133134123,0.5084858237285284,1624.5534859651661,0.5714285714285714
Impulse/prior volume,0.75–1.25,All trades,Overall,2075,0.28433734939759037,-2.560963855421687,-5.25818164671129,0.34654396716930785,-0.04487799830717218,-10628.0,0.9106143371979092,-18998.5,-0.4642442653561718,-0.7089458741694408,-0.0649308681344117,2343.134670756226,0.43820224719101125
Impulse/prior volume,0.75–1.25,All trades,Train 2019–22,916,0.27838427947598254,-2.128548034934498,-6.670576298701299,2.090174208470965,-0.03037757885672866,-3899.5,0.918685878722162,-7271.5,-0.3515307534247592,-0.5413654251196165,-0.111936689778194,2036.4963591433473,0.45454545454545453
Impulse/prior volume,0.75–1.25,All trades,Validation 2023–24,530,0.22075471698113208,-7.174056603773585,-11.040341496385633,-3.2178030840019236,-0.13743538000156874,-7604.5,0.7223976490773358,-8297.0,-1.7592625172156588,-2.5616961631716584,-0.4410922226305057,2011.6971819970984,0.375
Impulse/prior volume,0.75–1.25,All trades,Holdout 2025–26,629,0.3465818759936407,0.6963434022257552,-4.741860273224043,6.3259570741758235,0.011994860327842005,876.0,1.0201143486946338,-5317.5,0.32284735272207093,0.5008205718055364,0.23776177864938788,3182.948221995453,0.47619047619047616
Impulse/prior volume,0.75–1.25,1h,Overall,1649,0.2765312310491207,0.06746513038204972,-2.7370751980051997,2.7859061515695527,-0.010114561575386686,222.5,1.0028389516931635,-7500.0,0.15948142741359692,0.26984976207022054,0.04170598911070781,1739.0415428559259,0.449438202247191
Impulse/prior volume,0.75–1.25,1h,Train 2019–22,725,0.26482758620689656,-0.5244827586206896,-4.601210735616947,3.4176021941583823,-0.003454723148755341,-760.5,0.9760087068992712,-3129.5,0.025215197057998972,0.043169489626207966,0.013795485885960712,1517.4095215954035,0.45454545454545453
Impulse/prior volume,0.75–1.25,1h,Validation 2023–24,403,0.20347394540942929,-3.0378411910669976,-6.7338838112492745,0.4659317696279149,-0.08054559531519259,-2448.5,0.8439601057897588,-3659.0,-0.7466212624736136,-1.305699644539992,-0.3211503389240873,1406.982109162495,0.375
Impulse/prior volume,0.75–1.25,1h,Holdout 2025–26,521,0.3493282149712092,3.293186180422265,-2.5417649507854443,8.537942264680686,0.03509719224003376,3431.5,1.1107524972969485,-2510.0,0.987378206006631,1.6322651943978432,1.1020446990556017,2416.42640980001,0.5238095238095238
Impulse/prior volume,≥1.25,All trades,Overall,3092,0.26972833117723155,-2.4632923673997413,-5.115899681948829,0.26221621226850533,-0.007273402793458566,-15233.0,0.9146997720922159,-19377.0,-0.6662233831141289,-0.9949430380055284,-0.10371496632634875,2835.404140808056,0.39325842696629215
Impulse/prior volume,≥1.25,All trades,Train 2019–22,1511,0.2554599602911979,-3.2812706816677695,-6.722357248709513,-0.10344533022256067,-0.07922608245383649,-9916.0,0.8750110291800592,-11491.0,-0.9834775943022407,-1.486748284035543,-0.22892541572274616,2630.083580182093,0.38636363636363635
Impulse/prior volume,≥1.25,All trades,Validation 2023–24,815,0.2650306748466258,1.4858895705521473,-3.5589562277839146,6.880893315036895,0.15855853782998014,2422.0,1.0606379249912372,-5567.0,0.5724419616045866,0.947190465301277,0.2826405313353771,2551.92261257738,0.4583333333333333
Impulse/prior volume,≥1.25,All trades,Holdout 2025–26,766,0.3028720626631854,-5.051566579634465,-11.51996749063911,1.7152052696078224,-0.04178062556274255,-7739.0,0.8695029003102658,-11979.5,-1.2461351108595338,-1.7349827044614081,-0.3722776025175039,3503.5411051957403,0.3333333333333333
Impulse/prior volume,≥1.25,1h,Overall,2030,0.25566502463054186,-1.0310344827586206,-3.2435241460683697,1.4625755373437686,0.0035081755847852746,-4186.0,0.9547297954946089,-7197.0,-0.29708094370642296,-0.47046168627054835,-0.07699886728187989,1752.3484852237418,0.4157303370786517
Impulse/prior volume,≥1.25,1h,Train 2019–22,979,0.23186925434116445,-1.6859039836567926,-4.6680698522244315,0.9428556874110109,-0.10700705316317438,-3301.0,0.9168890679288987,-4387.5,-0.5707027574339978,-0.9124570140480168,-0.19933731838860316,1577.3663577349048,0.36363636363636365
Impulse/prior volume,≥1.25,1h,Validation 2023–24,545,0.25321100917431194,2.5105504587155965,-2.918025435212935,7.966576179206789,0.21206365057698642,2736.5,1.1301824409505008,-4062.5,0.8588495058419436,1.514041069085528,0.37770069600308326,1672.2451218549495,0.5416666666666666
